"CUADRO Nº 9: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia ILO (000)",26126,155,7411,10552,7168,840
"Empleado (001)",9004,13,2767,3920,2181,123
"Obrero (002)",6042,12,1759,2289,1830,152
"Trabajador independiente (003)",9216,34,2237,3722,2745,478
"Empleador o patrono (004)",535,,108,233,166,28
"Trabajador familiar no remunerado (005)",681,78,245,170,137,51
"Trabajador del hogar (006)",648,18,295,218,109,8
"Hombres (008)",16445,87,4504,6472,4802,580
"Empleado (009)",4894,6,1268,2091,1438,91
"Obrero (010)",5566,12,1610,2077,1728,139
"Trabajador independiente (011)",5339,25,1423,2088,1490,313
"Empleador o patrono (012)",356,,76,152,111,17
"Trabajador familiar no remunerado (013)",256,40,115,51,31,19
"Trabajador del hogar (014)",34,4,12,13,4,1
"Mujeres (016)",9681,68,2907,4080,2366,260
"Empleado (017)",4110,7,1499,1829,743,32
"Obrero (018)",476,,149,212,102,13
"Trabajador independiente (019)",3877,9,814,1634,1255,165
"Empleador o patrono (020)",179,,32,81,55,11
"Trabajador familiar no remunerado (021)",425,38,130,119,106,32
"Trabajador del hogar (022)",614,14,283,205,105,7
,,,,,,
"URBANA (024)",25791,154,7321,10434,7068,814
"Empleado (025)",8835,13,2717,3848,2134,123
"Obrero (026)",5962,12,1727,2258,1816,149
"Trabajador independiente (027)",9148,33,2233,3710,2714,458
"Empleador o patrono (028)",534,,107,233,166,28
"Trabajador familiar no remunerado (029)",666,78,243,167,130,48
"Trabajador del hogar (030)",646,18,294,218,108,8
"Hombres (032)",16173,86,4429,6364,4728,566
"Empleado (033)",4749,6,1230,2023,1399,91
"Obrero (034)",5489,12,1579,2047,1714,137
"Trabajador independiente (035)",5297,24,1420,2081,1470,302
"Empleador o patrono (036)",355,,75,152,111,17
"Trabajador familiar no remunerado (037)",249,40,113,48,30,18
"Trabajador del hogar (038)",34,4,12,13,4,1
"Mujeres (040)",9618,68,2892,4070,2340,248
"Empleado (041)",4086,7,1487,1825,735,32
"Obrero (042)",473,,148,211,102,12
"Trabajador independiente (043)",3851,9,813,1629,1244,156
"Empleador o patrono (044)",179,,32,81,55,11
"Trabajador familiar no remunerado (045)",417,38,130,119,100,30
"Trabajador del hogar (046)",612,14,282,205,104,7
,,,,,,
"RURAL (048)",335,1,90,118,100,26
"Empleado (049)",169,,50,72,47,
"Obrero (050)",80,,32,31,14,3
"Trabajador independiente (051)",68,1,4,12,31,20
"Empleador o patrono (052)",1,,1,,,
"Trabajador familiar no remunerado (053)",15,,2,3,7,3
"Trabajador del hogar (054)",2,,1,,1,
"Hombres (056)",272,1,75,108,74,14
"Empleado (057)",145,,38,68,39,
"Obrero (058)",77,,31,30,14,2
"Trabajador independiente (059)",42,1,3,7,20,11
"Empleador o patrono (060)",1,,1,,,
"Trabajador familiar no remunerado (061)",7,,2,3,1,1
"Mujeres (064)",63,,15,10,26,12
"Empleado (065)",24,,12,4,8,
"Obrero (066)",3,,1,1,,1
"Trabajador independiente (067)",26,,1,5,11,9
"Trabajador familiar no remunerado (069)",8,,,,6,2
"Trabajador del hogar (070)",2,,1,,1,
