"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia LA CONVENCION (000)",44022,20512,23510
"Red pública dentro de la vivienda (001)",6455,5655,800
"Red pública fuera de la vivienda (002)",6302,5065,1237
"Pilón de uso público (003)",558,196,362
"Camión - cisterna u otro similar (004)",49,19,30
"Pozo (005)",365,103,262
"Río, acequia, manatial o similar (006)",28816,9092,19724
"Vecino (007)",691,158,533
"Otro (008)",786,224,562
,,,
"URBANA (010)",13872,11875,1997
"Red pública dentro de la vivienda (011)",5331,4995,336
"Red pública fuera de la vivienda (012)",4472,4130,342
"Pilón de uso público (013)",262,115,147
"Camión - cisterna u otro similar (014)",4,4,
"Pozo (015)",52,40,12
"Río, acequia, manatial o similar (016)",3348,2431,917
"Vecino (017)",224,66,158
"Otro (018)",179,94,85
,,,
"RURAL (020)",30150,8637,21513
"Red pública dentro de la vivienda (021)",1124,660,464
"Red pública fuera de la vivienda (022)",1830,935,895
"Pilón de uso público (023)",296,81,215
"Camión - cisterna u otro similar (024)",45,15,30
"Pozo (025)",313,63,250
"Río, acequia, manatial o similar (026)",25468,6661,18807
"Vecino (027)",467,92,375
"Otro (028)",607,130,477
