"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia UCAYALI (000)",55783,17252,5696,1181,31712
"Sin Nivel (001)",5822,2773,498,101,2453
"Educación Inicial (002)",1914,1085,227,45,559
"Primaria (003)",26556,8428,1624,391,16138
"Secundaria (004)",17265,4551,1564,360,10806
"Sup. no Univ. Incompleta (005)",1141,154,247,53,687
"Sup. no Univ. Completa (006)",1702,121,952,111,525
"Sup. Univ. Incompleta (007)",552,68,137,71,276
"Sup. Univ. Completa (008)",831,72,447,49,268
"Hombres (010)",29446,8305,2838,672,17662
"Sin Nivel (011)",2736,1382,236,51,1067
"Educación Inicial (012)",969,549,117,24,281
"Primaria (013)",13494,4031,749,186,8539
"Secundaria (014)",9757,2126,754,203,6685
"Sup. no Univ. Incompleta (015)",670,70,144,38,418
"Sup. no Univ. Completa (016)",953,71,490,79,317
"Sup. Univ. Incompleta (017)",348,35,79,55,179
"Sup. Univ. Completa (018)",519,41,269,36,176
"Mujeres (020)",26337,8947,2858,509,14050
"Sin Nivel (021)",3086,1391,262,50,1386
"Educación Inicial (022)",945,536,110,21,278
"Primaria (023)",13062,4397,875,205,7599
"Secundaria (024)",7508,2425,810,157,4121
"Sup. no Univ. Incompleta (025)",471,84,103,15,269
"Sup. no Univ. Completa (026)",749,50,462,32,208
"Sup. Univ. Incompleta (027)",204,33,58,16,97
"Sup. Univ. Completa (028)",312,31,178,13,92
,,,,,
"URBANA (030)",30917,9878,4173,960,15942
"Sin Nivel (031)",2656,1443,305,81,829
"Educación Inicial (032)",1043,626,145,32,240
"Primaria (033)",12585,4487,1081,290,6743
"Secundaria (034)",11264,3028,1235,312,6698
"Sup. no Univ. Incompleta (035)",913,116,194,45,558
"Sup. no Univ. Completa (036)",1235,63,696,90,390
"Sup. Univ. Incompleta (037)",507,61,125,70,251
"Sup. Univ. Completa (038)",714,54,392,40,233
"Hombres (040)",16129,4617,2062,556,8915
"Sin Nivel (041)",1274,731,134,42,367
"Educación Inicial (042)",537,316,79,16,126
"Primaria (043)",6254,2078,485,141,3559
"Secundaria (044)",6123,1356,601,175,3998
"Sup. no Univ. Incompleta (045)",510,43,112,30,325
"Sup. no Univ. Completa (046)",666,34,340,66,228
"Sup. Univ. Incompleta (047)",314,30,71,55,158
"Sup. Univ. Completa (048)",451,29,240,31,154
"Mujeres (050)",14788,5261,2111,404,7027
"Sin Nivel (051)",1382,712,171,39,462
"Educación Inicial (052)",506,310,66,16,114
"Primaria (053)",6331,2409,596,149,3184
"Secundaria (054)",5141,1672,634,137,2700
"Sup. no Univ. Incompleta (055)",403,73,82,15,233
"Sup. no Univ. Completa (056)",569,29,356,24,162
"Sup. Univ. Incompleta (057)",193,31,54,15,93
"Sup. Univ. Completa (058)",263,25,152,9,79
,,,,,
"RURAL (060)",24866,7374,1523,221,15770
"Sin Nivel (061)",3166,1330,193,20,1624
"Educación Inicial (062)",871,459,82,13,319
"Primaria (063)",13971,3941,543,101,9395
"Secundaria (064)",6001,1523,329,48,4108
"Sup. no Univ. Incompleta (065)",228,38,53,8,129
"Sup. no Univ. Completa (066)",467,58,256,21,135
"Sup. Univ. Incompleta (067)",45,7,12,1,25
"Sup. Univ. Completa (068)",117,18,55,9,35
"Hombres (070)",13317,3688,776,116,8747
"Sin Nivel (071)",1462,651,102,9,700
"Educación Inicial (072)",432,233,38,8,155
"Primaria (073)",7240,1953,264,45,4980
"Secundaria (074)",3634,770,153,28,2687
"Sup. no Univ. Incompleta (075)",160,27,32,8,93
"Sup. no Univ. Completa (076)",287,37,150,13,89
"Sup. Univ. Incompleta (077)",34,5,8,,21
"Sup. Univ. Completa (078)",68,12,29,5,22
"Mujeres (080)",11549,3686,747,105,7023
"Sin Nivel (081)",1704,679,91,11,924
"Educación Inicial (082)",439,226,44,5,164
"Primaria (083)",6731,1988,279,56,4415
"Secundaria (084)",2367,753,176,20,1421
"Sup. no Univ. Incompleta (085)",68,11,21,,36
"Sup. no Univ. Completa (086)",180,21,106,8,46
"Sup. Univ. Incompleta (087)",11,2,4,1,4
"Sup. Univ. Completa (088)",49,6,26,4,13
