"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CANGALLO (000)",9509,8160,587,394,368
"Empleado (001)",1034,287,210,225,312
"Obrero (002)",968,618,164,134,52
"Trabajador independiente (003)",5061,4926,135,,
"Empleador o patrono (004)",128,107,14,5,2
"Trabajador familiar no remunerado (005)",2270,2174,64,30,2
"Trabajador del hogar (006)",48,48,,,
"De 06 a 14 años (008)",238,223,8,7,
"Empleado (009)",3,3,,,
"Obrero (010)",4,2,,2,
"Trabajador independiente (011)",24,23,1,,
"Empleador o patrono (012)",1,1,,,
"Trabajador familiar no remunerado (013)",202,190,7,5,
"Trabajador del hogar (014)",4,4,,,
"De 15 a 29 años (016)",2795,2361,208,107,119
"Empleado (017)",269,90,42,41,96
"Obrero (018)",381,231,80,47,23
"Trabajador independiente (019)",1195,1145,50,,
"Empleador o patrono (020)",39,32,5,2,
"Trabajador familiar no remunerado (021)",878,830,31,17,
"Trabajador del hogar (022)",33,33,,,
"De 30 a 44 años (024)",3235,2663,232,187,153
"Empleado (025)",508,129,113,125,141
"Obrero (026)",343,223,53,57,10
"Trabajador independiente (027)",1727,1683,44,,
"Empleador o patrono (028)",50,42,4,2,2
"Trabajador familiar no remunerado (029)",600,579,18,3,
"Trabajador del hogar (030)",7,7,,,
"De 45 a 64 años (032)",2368,2065,127,83,93
"Empleado (033)",243,61,52,55,75
"Obrero (034)",203,131,30,25,17
"Trabajador independiente (035)",1447,1414,33,,
"Empleador o patrono (036)",31,26,4,1,
"Trabajador familiar no remunerado (037)",440,429,8,2,1
"Trabajador del hogar (038)",4,4,,,
"De 65 y más años (040)",873,848,12,10,3
"Empleado (041)",11,4,3,4,
"Obrero (042)",37,31,1,3,2
"Trabajador independiente (043)",668,661,7,,
"Empleador o patrono (044)",7,6,1,,
"Trabajador familiar no remunerado (045)",150,146,,3,1
,,,,,
"URBANA (048)",3608,2748,300,267,293
"Empleado (049)",810,181,154,202,273
"Obrero (050)",292,165,50,58,19
"Trabajador independiente (051)",1858,1786,72,,
"Empleador o patrono (052)",41,35,3,2,1
"Trabajador familiar no remunerado (053)",583,557,21,5,
"Trabajador del hogar (054)",24,24,,,
"De 06 a 14 años (056)",76,70,4,2,
"Empleado (057)",3,3,,,
