"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia RECUAY (000)",5503,3975,483,432,613
"Agric., ganadería, caza y silvicultura (001)",2255,2148,91,13,3
"Pesca (002)",12,11,1,,
"Explotación de minas y canteras (003)",261,36,53,116,56
"Industrias manufactureras (004)",176,142,24,5,5
"Suministro de electricidad, gas y agua (005)",13,2,3,3,5
"Construcción (006)",366,189,102,69,6
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",683,638,36,8,1
"Venta, mant.y rep. veh.autom y motoc. (008)",72,63,6,2,1
"Comercio al por mayor (009)",12,10,1,1,
"Comercio al por menor (010)",599,565,29,5,
"Hoteles y restaurantes (011)",215,191,16,6,2
"Trans., almac. y comunicaciones (012)",351,250,46,35,20
"Intermediación financiera (013)",2,,,1,1
"Activid.inmobil., empres. y alquileres (014)",117,65,17,25,10
"Admin.pub. y defensa; p. segur soc.afil (015)",299,,,,299
"Enseñanza (016)",417,58,59,126,174
"Servicios sociales y de salud (017)",49,15,6,3,25
"Otras activ. serv.comun.soc y personales (018)",128,79,25,19,5
"Hogares privados con servicio doméstico (019)",41,41,,,
"Actividad economica no especificada (021)",118,110,4,3,1
"Hombres (022)",3934,2774,385,351,424
"Agric., ganadería, caza y silvicultura (023)",1803,1717,75,10,1
"Pesca (024)",12,11,1,,
"Explotación de minas y canteras (025)",256,36,53,114,53
"Industrias manufactureras (026)",142,116,20,3,3
"Suministro de electricidad, gas y agua (027)",13,2,3,3,5
"Construcción (028)",358,186,100,67,5
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",299,270,21,7,1
"Venta, mant.y rep. veh.autom y motoc. (030)",69,60,6,2,1
"Comercio al por mayor (031)",7,7,,,
"Comercio al por menor (032)",223,203,15,5,
"Hoteles y restaurantes (033)",52,47,3,1,1
"Trans., almac. y comunicaciones (034)",326,236,41,30,19
"Activid.inmobil., empres. y alquileres (036)",80,40,11,21,8
"Admin.pub. y defensa; p. segur soc.afil (037)",222,,,,222
"Enseñanza (038)",228,19,34,78,97
"Servicios sociales y de salud (039)",14,9,1,,4
"Otras activ. serv.comun.soc y personales (040)",82,43,19,16,4
"Hogares privados con servicio doméstico (041)",1,1,,,
"Actividad economica no especificada (043)",46,41,3,1,1
"Mujeres (044)",1569,1201,98,81,189
