"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia CAJABAMBA (000)",26675,25839,7617,3318,3032,2640,3806,2679,2747,836
"Católica (001)",20918,20231,6105,2767,2467,2081,2881,1962,1968,687
"Cristiana/Evangélica (002)",5292,5168,1370,475,512,518,870,673,750,124
"Otra (003)",155,142,39,18,18,13,19,20,15,13
"Ninguna (004)",310,298,103,58,35,28,36,24,14,12
,,,,,,,,,,
"URBANA (006)",7344,7023,2181,1131,1051,740,898,556,466,321
"Católica (007)",5849,5593,1745,949,867,603,701,405,323,256
"Cristiana/Evangélica (008)",1275,1225,370,138,158,123,174,132,130,50
"Otra (009)",97,87,24,16,11,6,12,11,7,10
"Ninguna (010)",123,118,42,28,15,8,11,8,6,5
,,,,,,,,,,
"RURAL (012)",19331,18816,5436,2187,1981,1900,2908,2123,2281,515
"Católica (013)",15069,14638,4360,1818,1600,1478,2180,1557,1645,431
"Cristiana/Evangélica (014)",4017,3943,1000,337,354,395,696,541,620,74
"Otra (015)",58,55,15,2,7,7,7,9,8,3
"Ninguna (016)",187,180,61,30,20,20,25,16,8,7
