"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia POMABAMBA (000)",6244,85,1882,2243,1554,480
"Agric., ganadería, caza y silvicultura (001)",3290,58,997,1021,873,341
"Pesca (002)",1,,,1,,
"Explotación de minas y canteras (003)",2,,1,1,,
"Industrias manufactureras (004)",186,1,70,53,49,13
"Suministro de electricidad, gas y agua (005)",39,,17,13,7,2
"Construcción (006)",324,1,108,136,69,10
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",363,10,117,112,88,36
"Venta, mant.y rep. veh.autom.y motoc. (008)",17,,6,7,4,
"Comercio al por mayor (009)",19,,6,8,4,1
"Comercio al por menor (010)",327,10,105,97,80,35
"Hoteles y restaurantes (011)",88,,29,35,21,3
"Trans., almac. y comunicaciones (012)",70,,25,25,18,2
"Intermediación financiera (013)",4,,1,3,,
"Activid.inmobil., empres. y alquileres (014)",61,,17,20,19,5
"Admin.pub. y defensa; p. segur.soc afil (015)",155,,41,64,48,2
"Enseñanza (016)",807,,82,511,211,3
"Servicios sociales y de salud (017)",130,,35,65,28,2
"Otras activ. serv.comun.soc y personales (018)",71,3,26,24,17,1
"Hogares privados con servicio doméstico (019)",128,4,76,22,17,9
"Actividad economica no especificada (021)",172,,62,55,33,22
"Desocupado (022)",353,8,178,82,56,29
"Hombres (023)",4887,57,1435,1731,1265,399
"Agric., ganadería, caza y silvicultura (024)",2959,42,893,925,801,298
"Pesca (025)",1,,,1,,
"Explotación de minas y canteras (026)",2,,1,1,,
"Industrias manufactureras (027)",163,1,59,48,43,12
"Suministro de electricidad, gas y agua (028)",38,,16,13,7,2
"Construcción (029)",320,1,106,134,69,10
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",183,6,56,48,52,21
"Venta, mant.y rep. veh.autom.y motoc. (031)",16,,6,6,4,
"Comercio al por mayor (032)",11,,3,5,2,1
"Comercio al por menor (033)",156,6,47,37,46,20
"Hoteles y restaurantes (034)",19,,9,8,2,
"Trans., almac. y comunicaciones (035)",66,,24,24,16,2
"Intermediación financiera (036)",2,,,2,,
"Activid.inmobil., empres. y alquileres (037)",46,,12,15,14,5
"Admin.pub. y defensa; p. segur.soc afil (038)",108,,27,49,30,2
"Enseñanza (039)",498,,42,312,141,3
"Servicios sociales y de salud (040)",69,,15,40,13,1
"Otras activ. serv.comun.soc y personales (041)",43,3,13,17,10,
