"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SAN ANTONIO DE PUTINA (000)",16360,9792,2220,2492,1856
"Empleado (001)",1069,458,152,174,285
"Obrero (002)",7927,2434,1677,2270,1546
"Trabajador independiente (003)",5222,4930,292,,
"Empleador o patrono (004)",172,111,27,19,15
"Trabajador familiar no remunerado (005)",1789,1678,72,29,10
"Trabajador del hogar (006)",181,181,,,
"De 06 a 14 años (008)",124,109,5,8,2
"Empleado (009)",5,5,,,
"Obrero (010)",18,8,3,5,2
"Trabajador independiente (011)",28,28,,,
"Trabajador familiar no remunerado (013)",69,64,2,3,
"Trabajador del hogar (014)",4,4,,,
"De 15 a 29 años (016)",6626,3595,998,1180,853
"Empleado (017)",468,280,56,43,89
"Obrero (018)",3732,1056,799,1122,755
"Trabajador independiente (019)",1576,1466,110,,
"Empleador o patrono (020)",56,40,5,4,7
"Trabajador familiar no remunerado (021)",672,631,28,11,2
"Trabajador del hogar (022)",122,122,,,
"De 30 a 44 años (024)",5984,3413,873,985,713
"Empleado (025)",391,117,65,90,119
"Obrero (026)",3045,919,662,879,585
"Trabajador independiente (027)",1976,1861,115,,
"Empleador o patrono (028)",68,46,9,8,5
"Trabajador familiar no remunerado (029)",468,434,22,8,4
"Trabajador del hogar (030)",36,36,,,
"De 45 a 64 años (032)",3009,2115,317,307,270
"Empleado (033)",191,51,29,40,71
"Obrero (034)",1066,406,207,257,196
"Trabajador independiente (035)",1275,1218,57,,
"Empleador o patrono (036)",41,20,11,7,3
"Trabajador familiar no remunerado (037)",421,405,13,3,
"Trabajador del hogar (038)",15,15,,,
"De 65 y más años (040)",617,560,27,12,18
"Empleado (041)",14,5,2,1,6
"Obrero (042)",66,45,6,7,8
"Trabajador independiente (043)",367,357,10,,
"Empleador o patrono (044)",7,5,2,,
"Trabajador familiar no remunerado (045)",159,144,7,4,4
"Trabajador del hogar (046)",4,4,,,
,,,,,
"URBANA (048)",11369,6000,1926,2127,1316
"Empleado (049)",942,402,122,152,266
"Obrero (050)",6223,1796,1466,1932,1029
"Trabajador independiente (051)",3270,3014,256,,
"Empleador o patrono (052)",150,97,26,16,11
"Trabajador familiar no remunerado (053)",627,534,56,27,10
"Trabajador del hogar (054)",157,157,,,
