"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia SECHURA (000)",957,173,784
"Sin nivel (001)",21,,21
"Educación inicial (002)",5,2,3
"Primaria (003)",427,51,376
"Secundaria (004)",346,76,270
"Superior no univ. incompleta (005)",46,10,36
"Superior no univ. completa (006)",67,20,47
"Superior univ. incompleta (007)",15,5,10
"Superior univ. completa (008)",30,9,21
"De 14 a 29 años (010)",516,147,369
"Sin nivel (011)",7,,7
"Educación inicial (012)",3,1,2
"Primaria (013)",169,35,134
"Secundaria (014)",233,71,162
"Superior no univ. incompleta (015)",27,8,19
"Superior no univ. completa (016)",48,19,29
"Superior univ. incompleta (017)",13,5,8
"Superior univ. completa (018)",16,8,8
"De 30 a 44 años (020)",261,25,236
"Sin nivel (021)",4,,4
"Educación inicial (022)",2,1,1
"Primaria (023)",127,15,112
"Secundaria (024)",90,5,85
"Superior no univ. incompleta (025)",15,2,13
"Superior no univ. completa (026)",15,1,14
"Superior univ. incompleta (027)",1,,1
"Superior univ. completa (028)",7,1,6
"De 45 a 64 años (030)",155,1,154
"Sin nivel (031)",7,,7
"Primaria (033)",110,1,109
"Secundaria (034)",23,,23
"Superior no univ. incompleta (035)",4,,4
"Superior no univ. completa (036)",4,,4
"Superior univ. incompleta (037)",1,,1
"Superior univ. completa (038)",6,,6
"De 65 y más años (040)",25,,25
"Sin nivel (041)",3,,3
"Primaria (043)",21,,21
"Superior univ. completa (048)",1,,1
,,,
"AREA URBANA (050)",904,167,737
"Sin nivel (051)",16,,16
"Educación inicial (052)",5,2,3
"Primaria (053)",397,47,350
"Secundaria (054)",333,74,259
"Superior no univ. incompleta (055)",42,10,32
"Superior no univ. completa (056)",67,20,47
"Superior univ. incompleta (057)",15,5,10
"Superior univ. completa (058)",29,9,20
"De 14 a 29 años (060)",483,141,342
"Sin nivel (061)",5,,5
"Educación inicial (062)",3,1,2
"Primaria (063)",153,31,122
"Secundaria (064)",223,69,154
"Superior no univ. incompleta (065)",23,8,15
"Superior no univ. completa (066)",48,19,29
"Superior univ. incompleta (067)",13,5,8
"Superior univ. completa (068)",15,8,7
"De 30 a 44 años (070)",247,25,222
"Sin nivel (071)",2,,2
"Educación inicial (072)",2,1,1
"Primaria (073)",118,15,103
"Secundaria (074)",87,5,82
"Superior no univ. incompleta (075)",15,2,13
"Superior no univ. completa (076)",15,1,14
"Superior univ. incompleta (077)",1,,1
"Superior univ. completa (078)",7,1,6
"De 45 a 64 años (080)",151,1,150
"Sin nivel (081)",7,,7
"Primaria (083)",106,1,105
"Secundaria (084)",23,,23
"Superior no univ. incompleta (085)",4,,4
"Superior no univ. completa (086)",4,,4
"Superior univ. incompleta (087)",1,,1
"Superior univ. completa (088)",6,,6
"De 65 y más años (090)",23,,23
"Sin nivel (091)",2,,2
"Primaria (093)",20,,20
"Superior univ. completa (098)",1,,1
,,,
"AREA RURAL (100)",53,6,47
"Sin nivel (101)",5,,5
"Primaria (103)",30,4,26
"Secundaria (104)",13,2,11
"Superior no univ. incompleta (105)",4,,4
"Superior univ. completa (108)",1,,1
"De 14 a 29 años (110)",33,6,27
"Sin nivel (111)",2,,2
"Primaria (113)",16,4,12
"Secundaria (114)",10,2,8
"Superior no univ. incompleta (115)",4,,4
"Superior univ. completa (118)",1,,1
"De 30 a 44 años (120)",14,,14
"Sin nivel (121)",2,,2
"Primaria (123)",9,,9
"Secundaria (124)",3,,3
"De 45 a 64 años (130)",4,,4
"Primaria (133)",4,,4
"De 65 y más años (140)",2,,2
"Sin nivel (141)",1,,1
"Primaria (143)",1,,1
