"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia ANTA (000)",14526,13747,47,2046,2260,2101,3567,2386,1064,276,779,55842
"De 12 a 14 años (001)",22,3,,3,,,,,,,19,3
"De 15 a 19 años (002)",304,258,2,219,33,4,,,,,46,297
"De 20 a 24 años (003)",1352,1046,5,653,295,70,21,2,,,306,1553
"De 25 a 29 años (004)",1587,1409,3,434,520,285,153,11,3,,178,3066
"De 30 a 34 años (005)",1594,1532,2,184,444,414,388,87,12,1,62,4650
"De 35 a 39 años (006)",1730,1700,5,140,280,397,608,223,44,3,30,6373
"De 40 a 44 años (007)",1576,1540,,72,156,247,564,376,103,22,36,7105
"De 45 a 49 años (008)",1383,1368,6,59,139,185,421,362,153,43,15,6830
"De 50 y más años (009)",4978,4891,24,282,393,499,1412,1325,749,207,87,25965
"PEA (010)",3868,3529,11,671,693,581,826,498,202,47,339,12846
"De 12 a 14 años (011)",2,1,,1,,,,,,,1,1
"De 15 a 19 años (012)",60,58,1,50,6,1,,,,,2,65
"De 20 a 24 años (013)",398,262,,190,49,16,6,1,,,136,367
"De 25 a 29 años (014)",501,399,2,161,149,56,29,1,1,,102,764
"De 30 a 34 años (015)",479,446,2,84,156,114,72,17,1,,33,1163
"De 35 a 39 años (016)",511,493,3,58,114,118,144,50,6,,18,1628
"De 40 a 44 años (017)",469,445,,33,70,94,152,74,18,4,24,1783
"De 45 a 49 años (018)",414,408,2,28,55,65,130,92,29,7,6,1829
"De 50 y más años (019)",1034,1017,1,66,94,117,293,263,147,36,17,5246
"Ocupada (020)",3755,3444,10,651,677,565,805,492,198,46,311,12571
"De 12 a 14 años (021)",2,1,,1,,,,,,,1,1
