"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia RIOJA (000)",97358,5118,26711,20312,15980,12746,8078,4500,3913
"Quechua (001)",130,3,26,20,14,21,21,10,15
"Aymara (002)",26,,8,2,3,9,3,1,
"Ashaninca (003)",18,,10,3,1,3,,1,
"Otra lengua nativa (004)",1873,139,598,459,274,203,111,59,30
"Castellano (005)",95109,4972,26015,19796,15660,12471,7927,4414,3854
"Idioma extranjero (006)",8,,4,,1,2,,,1
"Es sordomudo/a (007)",194,4,50,32,27,37,16,15,13
"Hombres (009)",50455,2627,13644,10404,8025,6673,4552,2451,2079
"Quechua (010)",69,1,13,7,7,11,15,7,8
"Aymara (011)",15,,6,1,,4,3,1,
"Ashaninca (012)",10,,7,2,1,,,,
"Otra lengua nativa (013)",973,79,274,260,148,103,61,33,15
"Castellano (014)",49269,2543,13314,10119,7853,6528,4465,2401,2046
"Idioma extranjero (015)",5,,2,,1,1,,,1
"Es sordomudo/a (016)",114,4,28,15,15,26,8,9,9
"Mujeres (018)",46903,2491,13067,9908,7955,6073,3526,2049,1834
"Quechua (019)",61,2,13,13,7,10,6,3,7
"Aymara (020)",11,,2,1,3,5,,,
"Ashaninca (021)",8,,3,1,,3,,1,
"Otra lengua nativa (022)",900,60,324,199,126,100,50,26,15
"Castellano (023)",45840,2429,12701,9677,7807,5943,3462,2013,1808
"Idioma extranjero (024)",3,,2,,,1,,,
"Es sordomudo/a (025)",80,,22,17,12,11,8,6,4
,,,,,,,,,
"URBANA (027)",70150,3405,18449,14467,11684,9832,6129,3263,2921
"Quechua (028)",121,3,21,18,14,20,20,10,15
"Aymara (029)",22,,7,2,2,7,3,1,
"Ashaninca (030)",8,,2,2,1,2,,1,
"Otra lengua nativa (031)",290,11,81,67,44,41,24,13,9
"Castellano (032)",69583,3387,18304,14358,11607,9737,6073,3229,2888
"Idioma extranjero (033)",7,,4,,1,2,,,
"Es sordomudo/a (034)",119,4,30,20,15,23,9,9,9
"Hombres (036)",35899,1765,9353,7323,5652,5067,3456,1777,1506
"Quechua (037)",64,1,11,6,7,10,14,7,8
"Aymara (038)",14,,5,1,,4,3,1,
"Ashaninca (039)",2,,,1,1,,,,
"Otra lengua nativa (040)",149,8,40,35,21,18,12,9,6
"Castellano (041)",35600,1752,9280,7273,5614,5019,3422,1753,1487
"Idioma extranjero (042)",4,,2,,1,1,,,
"Es sordomudo/a (043)",66,4,15,7,8,15,5,7,5
"Mujeres (045)",34251,1640,9096,7144,6032,4765,2673,1486,1415
"Quechua (046)",57,2,10,12,7,10,6,3,7
"Aymara (047)",8,,2,1,2,3,,,
"Ashaninca (048)",6,,2,1,,2,,1,
"Otra lengua nativa (049)",141,3,41,32,23,23,12,4,3
"Castellano (050)",33983,1635,9024,7085,5993,4718,2651,1476,1401
"Idioma extranjero (051)",3,,2,,,1,,,
"Es sordomudo/a (052)",53,,15,13,7,8,4,2,4
,,,,,,,,,
"RURAL (054)",27208,1713,8262,5845,4296,2914,1949,1237,992
"Quechua (055)",9,,5,2,,1,1,,
"Aymara (056)",4,,1,,1,2,,,
"Ashaninca (057)",10,,8,1,,1,,,
"Otra lengua nativa (058)",1583,128,517,392,230,162,87,46,21
"Castellano (059)",25526,1585,7711,5438,4053,2734,1854,1185,966
"Idioma extranjero (060)",1,,,,,,,,1
"Es sordomudo/a (061)",75,,20,12,12,14,7,6,4
"Hombres (063)",14556,862,4291,3081,2373,1606,1096,674,573
"Quechua (064)",5,,2,1,,1,1,,
"Aymara (065)",1,,1,,,,,,
"Ashaninca (066)",8,,7,1,,,,,
"Otra lengua nativa (067)",824,71,234,225,127,85,49,24,9
"Castellano (068)",13669,791,4034,2846,2239,1509,1043,648,559
"Idioma extranjero (069)",1,,,,,,,,1
"Es sordomudo/a (070)",48,,13,8,7,11,3,2,4
"Mujeres (072)",12652,851,3971,2764,1923,1308,853,563,419
"Quechua (073)",4,,3,1,,,,,
"Aymara (074)",3,,,,1,2,,,
"Ashaninca (075)",2,,1,,,1,,,
"Otra lengua nativa (076)",759,57,283,167,103,77,38,22,12
"Castellano (077)",11857,794,3677,2592,1814,1225,811,537,407
"Es sordomudo/a (079)",27,,7,4,5,3,4,4,
