"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia MANU (000)",6134,5849,1734,1167,977,702,738,339,192,285
"Católica (001)",4727,4500,1314,923,780,553,566,234,130,227
"Cristiana/Evangélica (002)",807,778,227,151,114,83,110,56,37,29
"Otra (003)",398,388,118,50,60,52,48,38,22,10
"Ninguna (004)",202,183,75,43,23,14,14,11,3,19
,,,,,,,,,,
"URBANA (006)",2518,2406,745,453,431,302,301,124,50,112
"Católica (007)",1909,1820,543,362,339,244,225,77,30,89
"Cristiana/Evangélica (008)",365,351,117,57,52,27,54,29,15,14
"Otra (009)",170,168,57,20,31,25,16,14,5,2
"Ninguna (010)",74,67,28,14,9,6,6,4,,7
,,,,,,,,,,
"RURAL (012)",3616,3443,989,714,546,400,437,215,142,173
"Católica (013)",2818,2680,771,561,441,309,341,157,100,138
"Cristiana/Evangélica (014)",442,427,110,94,62,56,56,27,22,15
"Otra (015)",228,220,61,30,29,27,32,24,17,8
"Ninguna (016)",128,116,47,29,14,8,8,7,3,12
