"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CANGALLO (000)",411,109,302
"De 14 a 29 años (001)",195,70,125
"De 30 a 44 años (002)",134,33,101
"De 45 a 64 años (003)",59,6,53
"De 65 y más años (004)",23,,23
"Hombres (005)",349,82,267
"De 14 a 29 años (006)",152,50,102
"De 30 a 44 años (007)",120,28,92
"De 45 a 64 años (008)",54,4,50
"De 65 y más años (009)",23,,23
"Mujeres (010)",62,27,35
"De 14 a 29 años (011)",43,20,23
"De 30 a 44 años (012)",14,5,9
"De 45 a 64 años (013)",5,2,3
,,,
"AREA URBANA (015)",125,29,96
"De 14 a 29 años (016)",63,18,45
"De 30 a 44 años (017)",43,10,33
"De 45 a 64 años (018)",15,1,14
"De 65 y más años (019)",4,,4
"Hombres (020)",94,15,79
"De 14 a 29 años (021)",42,9,33
"De 30 a 44 años (022)",35,6,29
"De 45 a 64 años (023)",13,,13
"De 65 y más años (024)",4,,4
"Mujeres (025)",31,14,17
"De 14 a 29 años (026)",21,9,12
"De 30 a 44 años (027)",8,4,4
"De 45 a 64 años (028)",2,1,1
,,,
"AREA RURAL (030)",286,80,206
"De 14 a 29 años (031)",132,52,80
"De 30 a 44 años (032)",91,23,68
"De 45 a 64 años (033)",44,5,39
"De 65 y más años (034)",19,,19
"Hombres (035)",255,67,188
"De 14 a 29 años (036)",110,41,69
"De 30 a 44 años (037)",85,22,63
"De 45 a 64 años (038)",41,4,37
"De 65 y más años (039)",19,,19
"Mujeres (040)",31,13,18
"De 14 a 29 años (041)",22,11,11
"De 30 a 44 años (042)",6,1,5
"De 45 a 64 años (043)",3,1,2
