"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia MARAÑON (000)",24541,13036,1083,87,10361
"Quechua (001)",6073,3280,107,8,2682
"Aymara (002)",8,4,1,3,2
"Asháninka (003)",4,3,1,3,
"Otra lengua nativa (004)",7,1,1,2,5
"Castellano (005)",18367,9724,971,71,7616
"Es Sordomudo/a (007)",82,24,2,,56
"Hombres (009)",12610,6364,571,67,5625
"Quechua (010)",2911,1542,58,8,1306
"Aymara (011)",5,2,,1,2
"Asháninka (012)",2,1,1,1,
"Otra lengua nativa (013)",5,1,1,2,3
"Castellano (014)",9642,4807,511,55,4280
"Es Sordomudo/a (016)",45,11,,,34
"Mujeres (018)",11931,6672,512,20,4736
"Quechua (019)",3162,1738,49,,1376
"Aymara (020)",3,2,1,2,
"Asháninka (021)",2,2,,2,
"Otra lengua nativa (022)",2,,,,2
"Castellano (023)",8725,4917,460,16,3336
"Es Sordomudo/a (025)",37,13,2,,22
,,,,,
"URBANA (027)",3779,1568,679,47,1488
"Quechua (028)",484,265,54,3,164
"Aymara (029)",1,,,1,
"Otra lengua nativa (031)",1,,,,1
"Castellano (032)",3285,1302,624,43,1317
"Es Sordomudo/a (034)",8,1,1,,6
"Hombres (036)",1971,781,360,41,791
"Quechua (037)",234,118,28,3,86
"Aymara (038)",1,,,1,
"Castellano (041)",1730,662,332,37,700
"Es Sordomudo/a (043)",6,1,,,5
"Mujeres (045)",1808,787,319,6,697
"Quechua (046)",250,147,26,,78
"Otra lengua nativa (049)",1,,,,1
"Castellano (050)",1555,640,292,6,617
"Es Sordomudo/a (052)",2,,1,,1
,,,,,
"RURAL (054)",20762,11468,404,40,8873
"Quechua (055)",5589,3015,53,5,2518
"Aymara (056)",7,4,1,2,2
"Asháninka (057)",4,3,1,3,
"Otra lengua nativa (058)",6,1,1,2,4
"Castellano (059)",15082,8422,347,28,6299
"Es Sordomudo/a (061)",74,23,1,,50
"Hombres (063)",10639,5583,211,26,4834
"Quechua (064)",2677,1424,30,5,1220
"Aymara (065)",4,2,,,2
"Asháninka (066)",2,1,1,1,
"Otra lengua nativa (067)",5,1,1,2,3
"Castellano (068)",7912,4145,179,18,3580
"Es Sordomudo/a (070)",39,10,,,29
"Mujeres (072)",10123,5885,193,14,4039
"Quechua (073)",2912,1591,23,,1298
"Aymara (074)",3,2,1,2,
"Asháninka (075)",2,2,,2,
"Otra lengua nativa (076)",1,,,,1
"Castellano (077)",7170,4277,168,10,2719
"Es Sordomudo/a (079)",35,13,1,,21
