"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia LA UNION (000)",11087,1714,1376,1882,1993,1469,2653
"Católica (001)",9995,1572,1198,1671,1804,1323,2427
"Cristiana/Evangélica (002)",629,85,119,112,101,88,124
"Otra (003)",204,31,20,35,33,35,50
"Ninguna (004)",259,26,39,64,55,23,52
"Hombres (006)",5481,892,731,895,987,732,1244
"Católica (007)",4971,827,646,794,899,659,1146
"Cristiana/Evangélica (008)",283,36,59,52,41,43,52
"Otra (009)",91,13,6,14,15,15,28
"Ninguna (010)",136,16,20,35,32,15,18
"Mujeres (012)",5606,822,645,987,1006,737,1409
"Católica (013)",5024,745,552,877,905,664,1281
"Cristiana/Evangélica (014)",346,49,60,60,60,45,72
"Otra (015)",113,18,14,21,18,20,22
"Ninguna (016)",123,10,19,29,23,8,34
,,,,,,,
"URBANA (018)",5498,993,708,936,992,708,1161
"Católica (019)",4927,906,614,832,891,642,1042
"Cristiana/Evangélica (020)",289,46,58,49,46,32,58
"Otra (021)",142,26,16,23,22,21,34
"Ninguna (022)",140,15,20,32,33,13,27
"Hombres (024)",2685,522,373,433,482,343,532
"Católica (025)",2414,483,326,382,431,313,479
"Cristiana/Evangélica (026)",130,19,32,23,21,12,23
"Otra (027)",62,10,4,9,9,9,21
"Ninguna (028)",79,10,11,19,21,9,9
"Mujeres (030)",2813,471,335,503,510,365,629
"Católica (031)",2513,423,288,450,460,329,563
"Cristiana/Evangélica (032)",159,27,26,26,25,20,35
"Otra (033)",80,16,12,14,13,12,13
"Ninguna (034)",61,5,9,13,12,4,18
,,,,,,,
"RURAL (036)",5589,721,668,946,1001,761,1492
"Católica (037)",5068,666,584,839,913,681,1385
"Cristiana/Evangélica (038)",340,39,61,63,55,56,66
"Otra (039)",62,5,4,12,11,14,16
"Ninguna (040)",119,11,19,32,22,10,25
"Hombres (042)",2796,370,358,462,505,389,712
"Católica (043)",2557,344,320,412,468,346,667
"Cristiana/Evangélica (044)",153,17,27,29,20,31,29
"Otra (045)",29,3,2,5,6,6,7
"Ninguna (046)",57,6,9,16,11,6,9
"Mujeres (048)",2793,351,310,484,496,372,780
"Católica (049)",2511,322,264,427,445,335,718
"Cristiana/Evangélica (050)",187,22,34,34,35,25,37
"Otra (051)",33,2,2,7,5,8,9
"Ninguna (052)",62,5,10,16,11,4,16
