"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CUTERVO (000)",34094,564,14675,10553,3034,1015,410,128,19,,3696
"Catolica (001)",29832,507,12751,9211,2683,908,377,111,19,,3265
"Cristiana / Evangelica (002)",2519,29,1137,810,217,55,23,8,,,240
"Otra (003)",880,12,397,282,69,27,6,4,,,83
"Ninguna (004)",863,16,390,250,65,25,4,5,,,108
,,,,,,,,,,,
"URBANA (006)",7339,110,2483,2259,932,342,157,55,7,,994
"Catolica (007)",6619,97,2211,2040,850,309,147,49,7,,909
"Cristiana / Evangelica (008)",456,10,168,145,53,20,8,2,,,50
"Otra (009)",168,2,69,47,16,10,1,1,,,22
"Ninguna (010)",96,1,35,27,13,3,1,3,,,13
,,,,,,,,,,,
"RURAL (012)",26755,454,12192,8294,2102,673,253,73,12,,2702
"Catolica (013)",23213,410,10540,7171,1833,599,230,62,12,,2356
"Cristiana / Evangelica (014)",2063,19,969,665,164,35,15,6,,,190
"Otra (015)",712,10,328,235,53,17,5,3,,,61
"Ninguna (016)",767,15,355,223,52,22,3,2,,,95
