"CUADRO Nº 1: VIVIENDAS PARTICULARES, POR CONDICIÓN DE OCUPACIÓN DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",TOTAL,"CONDICIÓN DE OCUPACIÓN",,,,,,,,
,,OCUPADA,,,,DESOCUPADA,,,,
,,TOTAL,"CON PERSONAS PRESENTES","CON PERSONAS AUSENTES","DE USO OCASIONAL",TOTAL,"EN ALQUILER O VENTA","EN CONSTRUCCIÓN O REPARACIÓN","ABANDONADA CERRADA","OTRA CAUSA"
,,,,,,,,,,
"Provincia TAMBOPATA (000)",22118,20828,19105,1558,165,1290,142,281,784,83
"Casa independiente (001)",17206,16249,15094,1053,102,957,56,271,568,62
"Departamento en edificio (002)",182,179,160,18,1,3,2,,,1
"Vivienda en quinta (003)",916,878,832,45,1,38,18,2,17,1
"Vivienda en casa de vecindad (004)",2139,2049,1833,198,18,90,66,8,11,5
"Choza o cabaña (005)",1359,1178,923,213,42,181,,,169,12
"Vivienda improvisada (006)",221,200,168,31,1,21,,,19,2
"Local no dest.para hab. humana (007)",67,67,67,,,,,,,
"Otro tipo (008)",28,28,28,,,,,,,
,,,,,,,,,,
"URBANA (009)",17640,16916,15845,1007,64,724,135,177,366,46
"Casa independiente (010)",14111,13539,12781,715,43,572,49,167,319,37
"Departamento en edificio (011)",182,179,160,18,1,3,2,,,1
"Vivienda en quinta (012)",916,878,832,45,1,38,18,2,17,1
"Vivienda en casa de vecindad (013)",2139,2049,1833,198,18,90,66,8,11,5
"Vivienda improvisada (015)",221,200,168,31,1,21,,,19,2
"Local no dest.para hab. humana (016)",61,61,61,,,,,,,
"Otro tipo (017)",10,10,10,,,,,,,
,,,,,,,,,,
"RURAL (018)",4478,3912,3260,551,101,566,7,104,418,37
"Casa independiente (019)",3095,2710,2313,338,59,385,7,104,249,25
"Choza o cabaña (023)",1359,1178,923,213,42,181,,,169,12
"Local no dest.para hab. humana (025)",6,6,6,,,,,,,
"Otro tipo (026)",18,18,18,,,,,,,
