"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia OXAPAMPA (000)",26873,26222,7766,3924,3795,2690,3558,2071,2418,651
"Católica (001)",15644,15217,4499,2448,2410,1639,2010,1047,1164,427
"Cristiana/Evangélica (002)",6846,6712,1914,876,839,655,984,635,809,134
"Otra (003)",2247,2200,659,287,268,190,308,231,257,47
"Ninguna (004)",2136,2093,694,313,278,206,256,158,188,43
,,,,,,,,,,
"URBANA (006)",11151,10794,3441,1790,1777,1183,1374,633,596,357
"Católica (007)",7553,7297,2294,1267,1256,849,904,384,343,256
"Cristiana/Evangélica (008)",2501,2433,780,336,364,237,340,181,195,68
"Otra (009)",703,684,223,105,100,64,99,49,44,19
"Ninguna (010)",394,380,144,82,57,33,31,19,14,14
,,,,,,,,,,
"RURAL (012)",15722,15428,4325,2134,2018,1507,2184,1438,1822,294
"Católica (013)",8091,7920,2205,1181,1154,790,1106,663,821,171
"Cristiana/Evangélica (014)",4345,4279,1134,540,475,418,644,454,614,66
"Otra (015)",1544,1516,436,182,168,126,209,182,213,28
"Ninguna (016)",1742,1713,550,231,221,173,225,139,174,29
