"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia ESPINAR",,,,,,,,,
"Viviendas particulares (001)",6732,3790,1262,255,226,20,17,8,1154
"Ocupantes presentes (002)",26935,15895,5150,958,750,78,56,23,4025
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",6490,3753,1246,252,215,20,17,8,979
"Ocupantes presentes (005)",26051,15726,5101,944,712,78,56,23,3411
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",9,5,2,,,,,,2
"Ocupantes presentes (008)",38,22,2,,,,,,14
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",12,10,2,,,,,,
"Ocupantes presentes (011)",86,76,10,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",27,16,5,1,3,,,,2
"Ocupantes presentes (014)",88,45,21,7,12,,,,3
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",175,4,3,1,7,,,,160
"Ocupantes presentes (017)",629,14,9,2,23,,,,581
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",1,1,,,,,,,
"Ocupantes presentes (020)",2,2,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",18,1,4,1,1,,,,11
"Ocupantes presentes (023)",41,10,7,5,3,,,,16
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",5792,3649,1164,207,143,18,15,7,589
"Ocupantes presentes (029)",23405,15411,4759,755,448,72,46,21,1893
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",5726,3616,1151,205,139,18,15,7,575
"Ocupantes presentes (032)",23151,15256,4719,743,433,72,46,21,1861
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",9,5,2,,,,,,2
"Ocupantes presentes (035)",38,22,2,,,,,,14
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",12,10,2,,,,,,
"Ocupantes presentes (038)",86,76,10,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",27,16,5,1,3,,,,2
"Ocupantes presentes (041)",88,45,21,7,12,,,,3
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",1,1,,,,,,,
"Ocupantes presentes (047)",2,2,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",17,1,4,1,1,,,,10
"Ocupantes presentes (050)",40,10,7,5,3,,,,15
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",940,141,98,48,83,2,2,1,565
"Ocupantes presentes (056)",3530,484,391,203,302,6,10,2,2132
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",764,137,95,47,76,2,2,1,404
"Ocupantes presentes (059)",2900,470,382,201,279,6,10,2,1550
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",175,4,3,1,7,,,,160
"Ocupantes presentes (071)",629,14,9,2,23,,,,581
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",1,,,,,,,,1
"Ocupantes presentes (077)",1,,,,,,,,1
"Otro tipo",,,,,,,,,
