"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PAUCARTAMBO (000)",40,30,10
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",8,8,
"Casa pensión (003)",2,2,
"Hospital, clinica (004)",10,6,4
"Cárcel, centro de readaptación social (005)",1,1,
"Aldea infantil, orfelinato, etc (007)",1,,1
"Otro (008)",11,8,3
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",7,5,2
