"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia HUAROCHIRI (000)",29911,25497,4414
"De 3 a 5 años (001)",4194,425,3769
"De 6 a 11 años (002)",7973,7458,515
"De 12 a 16 años (003)",7177,7134,43
"De 17 a 24 años (004)",10567,10480,87
"Hombres (005)",15456,13257,2199
"De 3 a 5 años (006)",2064,202,1862
"De 6 a 11 años (007)",4089,3811,278
"De 12 a 16 años (008)",3637,3613,24
"De 17 a 24 años (009)",5666,5631,35
"Mujeres (010)",14455,12240,2215
"De 3 a 5 años (011)",2130,223,1907
"De 6 a 11 años (012)",3884,3647,237
"De 12 a 16 años (013)",3540,3521,19
"De 17 a 24 años (014)",4901,4849,52
,,,
"URBANA (015)",20484,17581,2903
"De 3 a 5 años (016)",2822,309,2513
"De 6 a 11 años (017)",5440,5136,304
"De 12 a 16 años (018)",5093,5069,24
"De 17 a 24 años (019)",7129,7067,62
"Hombres (020)",10428,8961,1467
"De 3 a 5 años (021)",1410,146,1264
"De 6 a 11 años (022)",2796,2637,159
"De 12 a 16 años (023)",2557,2540,17
"De 17 a 24 años (024)",3665,3638,27
"Mujeres (025)",10056,8620,1436
"De 3 a 5 años (026)",1412,163,1249
"De 6 a 11 años (027)",2644,2499,145
"De 12 a 16 años (028)",2536,2529,7
"De 17 a 24 años (029)",3464,3429,35
,,,
"RURAL (030)",9427,7916,1511
"De 3 a 5 años (031)",1372,116,1256
"De 6 a 11 años (032)",2533,2322,211
"De 12 a 16 años (033)",2084,2065,19
"De 17 a 24 años (034)",3438,3413,25
"Hombres (035)",5028,4296,732
"De 3 a 5 años (036)",654,56,598
"De 6 a 11 años (037)",1293,1174,119
"De 12 a 16 años (038)",1080,1073,7
"De 17 a 24 años (039)",2001,1993,8
"Mujeres (040)",4399,3620,779
"De 3 a 5 años (041)",718,60,658
"De 6 a 11 años (042)",1240,1148,92
"De 12 a 16 años (043)",1004,992,12
"De 17 a 24 años (044)",1437,1420,17
