"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia PATAZ (000)",65802,12453,8844,1226,43393
"Hombres (001)",35134,6093,6334,849,21956
"Mujeres (002)",30668,6360,2510,377,21437
"PEA (003)",23766,1250,5965,722,15900
"Hombres (004)",20164,973,5201,607,13448
"Mujeres (005)",3602,277,764,115,2452
"Ocupada (006)",22552,1119,5911,704,14889
"Hombres (007)",19156,873,5157,591,12600
"Mujeres (008)",3396,246,754,113,2289
"Desocupada (009)",1214,131,54,18,1011
"Hombres (010)",1008,100,44,16,848
"Mujeres (011)",206,31,10,2,163
"No PEA (012)",42036,11203,2879,504,27493
"Hombres (013)",14970,5120,1133,242,8508
"Mujeres (014)",27066,6083,1746,262,18985
,,,,,
"URBANA (018)",17726,1596,4498,730,10961
"Hombres (019)",9422,799,2903,458,5316
"Mujeres (020)",8304,797,1595,272,5645
"PEA (021)",7346,230,2747,386,4010
"Hombres (022)",5532,165,2223,298,2871
"Mujeres (023)",1814,65,524,88,1139
"Ocupada (024)",7062,216,2710,373,3790
"Hombres (025)",5299,154,2194,287,2689
"Mujeres (026)",1763,62,516,86,1101
"Desocupada (027)",284,14,37,13,220
"Hombres (028)",233,11,29,11,182
"Mujeres (029)",51,3,8,2,38
"No PEA (030)",10380,1366,1751,344,6951
"Hombres (031)",3890,634,680,160,2445
"Mujeres (032)",6490,732,1071,184,4506
,,,,,
"RURAL (036)",48076,10857,4346,496,32432
"Hombres (037)",25712,5294,3431,391,16640
"Mujeres (038)",22364,5563,915,105,15792
"PEA (039)",16420,1020,3218,336,11890
"Hombres (040)",14632,808,2978,309,10577
"Mujeres (041)",1788,212,240,27,1313
"Ocupada (042)",15490,903,3201,331,11099
"Hombres (043)",13857,719,2963,304,9911
"Mujeres (044)",1633,184,238,27,1188
"Desocupada (045)",930,117,17,5,791
"Hombres (046)",775,89,15,5,666
"Mujeres (047)",155,28,2,,125
"No PEA (048)",31656,9837,1128,160,20542
"Hombres (049)",11080,4486,453,82,6063
"Mujeres (050)",20576,5351,675,78,14479
