"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia ATALAYA (000)",24004,4482,7674,5302,6546
"Asiste actualmente (001)",12376,1275,6060,3867,1174
"No asiste (002)",11628,3207,1614,1435,5372
"Hombres (004)",12217,2221,4017,2728,3251
"Asiste actualmente (005)",6579,645,3151,2077,706
"No asiste (006)",5638,1576,866,651,2545
"Mujeres (008)",11787,2261,3657,2574,3295
"Asiste actualmente (009)",5797,630,2909,1790,468
"No asiste (010)",5990,1631,748,784,2827
,,,,,
"URBANA (012)",7781,1198,2220,2059,2304
"Asiste actualmente (013)",5055,620,2047,1769,619
"No asiste (014)",2726,578,173,290,1685
"Hombres (016)",3956,593,1143,1063,1157
"Asiste actualmente (017)",2663,319,1053,927,364
"No asiste (018)",1293,274,90,136,793
"Mujeres (020)",3825,605,1077,996,1147
"Asiste actualmente (021)",2392,301,994,842,255
"No asiste (022)",1433,304,83,154,892
,,,,,
"RURAL (024)",16223,3284,5454,3243,4242
"Asiste actualmente (025)",7321,655,4013,2098,555
"No asiste (026)",8902,2629,1441,1145,3687
"Hombres (028)",8261,1628,2874,1665,2094
"Asiste actualmente (029)",3916,326,2098,1150,342
"No asiste (030)",4345,1302,776,515,1752
"Mujeres (032)",7962,1656,2580,1578,2148
"Asiste actualmente (033)",3405,329,1915,948,213
"No asiste (034)",4557,1327,665,630,1935
