"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CALCA (000)",480,138,342
"Sin nivel (001)",31,5,26
"Educación inicial (002)",2,1,1
"Primaria (003)",153,49,104
"Secundaria (004)",213,64,149
"Superior no univ. incompleta (005)",19,4,15
"Superior no univ. completa (006)",33,10,23
"Superior univ. incompleta (007)",11,2,9
"Superior univ. completa (008)",18,3,15
"De 14 a 29 años (010)",250,101,149
"Sin nivel (011)",9,4,5
"Educación inicial (012)",1,,1
"Primaria (013)",61,28,33
"Secundaria (014)",138,52,86
"Superior no univ. incompleta (015)",10,3,7
"Superior no univ. completa (016)",22,10,12
"Superior univ. incompleta (017)",4,1,3
"Superior univ. completa (018)",5,3,2
"De 30 a 44 años (020)",147,29,118
"Sin nivel (021)",7,1,6
"Educación inicial (022)",1,1,
"Primaria (023)",60,15,45
"Secundaria (024)",53,10,43
"Superior no univ. incompleta (025)",5,1,4
"Superior no univ. completa (026)",10,,10
"Superior univ. incompleta (027)",4,1,3
"Superior univ. completa (028)",7,,7
"De 45 a 64 años (030)",74,8,66
"Sin nivel (031)",11,,11
"Primaria (033)",29,6,23
"Secundaria (034)",21,2,19
"Superior no univ. incompleta (035)",4,,4
"Superior no univ. completa (036)",1,,1
"Superior univ. incompleta (037)",2,,2
"Superior univ. completa (038)",6,,6
"De 65 y más años (040)",9,,9
"Sin nivel (041)",4,,4
"Primaria (043)",3,,3
"Secundaria (044)",1,,1
"Superior univ. incompleta (047)",1,,1
,,,
"AREA URBANA (050)",292,65,227
"Sin nivel (051)",14,1,13
"Educación inicial (052)",1,,1
"Primaria (053)",82,16,66
"Secundaria (054)",131,34,97
"Superior no univ. incompleta (055)",14,4,10
"Superior no univ. completa (056)",25,5,20
"Superior univ. incompleta (057)",9,2,7
"Superior univ. completa (058)",16,3,13
"De 14 a 29 años (060)",150,46,104
"Sin nivel (061)",4,1,3
"Educación inicial (062)",1,,1
"Primaria (063)",30,7,23
"Secundaria (064)",84,26,58
"Superior no univ. incompleta (065)",7,3,4
"Superior no univ. completa (066)",15,5,10
"Superior univ. incompleta (067)",4,1,3
"Superior univ. completa (068)",5,3,2
"De 30 a 44 años (070)",86,13,73
"Sin nivel (071)",2,,2
"Primaria (073)",29,4,25
"Secundaria (074)",34,7,27
"Superior no univ. incompleta (075)",5,1,4
"Superior no univ. completa (076)",9,,9
"Superior univ. incompleta (077)",2,1,1
"Superior univ. completa (078)",5,,5
"De 45 a 64 años (080)",48,6,42
"Sin nivel (081)",5,,5
"Primaria (083)",20,5,15
"Secundaria (084)",12,1,11
"Superior no univ. incompleta (085)",2,,2
"Superior no univ. completa (086)",1,,1
"Superior univ. incompleta (087)",2,,2
"Superior univ. completa (088)",6,,6
"De 65 y más años (090)",8,,8
"Sin nivel (091)",3,,3
"Primaria (093)",3,,3
"Secundaria (094)",1,,1
"Superior univ. incompleta (097)",1,,1
,,,
"AREA RURAL (100)",188,73,115
"Sin nivel (101)",17,4,13
"Educación inicial (102)",1,1,
"Primaria (103)",71,33,38
"Secundaria (104)",82,30,52
"Superior no univ. incompleta (105)",5,,5
"Superior no univ. completa (106)",8,5,3
"Superior univ. incompleta (107)",2,,2
"Superior univ. completa (108)",2,,2
"De 14 a 29 años (110)",100,55,45
"Sin nivel (111)",5,3,2
"Primaria (113)",31,21,10
"Secundaria (114)",54,26,28
"Superior no univ. incompleta (115)",3,,3
"Superior no univ. completa (116)",7,5,2
"De 30 a 44 años (120)",61,16,45
"Sin nivel (121)",5,1,4
"Educación inicial (122)",1,1,
"Primaria (123)",31,11,20
"Secundaria (124)",19,3,16
"Superior no univ. completa (126)",1,,1
"Superior univ. incompleta (127)",2,,2
"Superior univ. completa (128)",2,,2
"De 45 a 64 años (130)",26,2,24
"Sin nivel (131)",6,,6
"Primaria (133)",9,1,8
"Secundaria (134)",9,1,8
"Superior no univ. incompleta (135)",2,,2
"De 65 y más años (140)",1,,1
"Sin nivel (141)",1,,1
