"CUADRO Nº 10: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISPONE DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA",
,,SI,NO
,,,
"Provincia MARISCAL CACERES",,,
"Viviendas particulares (001)",6762,6223,539
"Ocupantes presentes (002)",29192,26840,2352
"Casa independiente",,,
"Viviendas particulares (004)",6214,5710,504
"Ocupantes presentes (005)",27394,25173,2221
"Departamento en edificio",,,
"Viviendas particulares (007)",51,50,1
"Ocupantes presentes (008)",157,154,3
"Vivienda en quinta",,,
"Viviendas particulares (010)",386,363,23
"Ocupantes presentes (011)",1228,1152,76
"Vivienda en casa de vecindad",,,
"Viviendas particulares (013)",44,40,4
"Ocupantes presentes (014)",169,150,19
"Choza o cabaña",,,
"Viviendas particulares (016)",24,22,2
"Ocupantes presentes (017)",98,86,12
"Vivienda improvisada",,,
"Viviendas particulares (019)",26,23,3
"Ocupantes presentes (020)",104,93,11
"Local no dest.para hab. humana",,,
"Viviendas particulares (022)",17,15,2
"Ocupantes presentes (023)",42,32,10
"Otro tipo",,,
,,,
URBANA,,,
"Viviendas particulares (028)",6295,5790,505
"Ocupantes presentes (029)",27188,25006,2182
"Casa independiente",,,
"Viviendas particulares (031)",5772,5300,472
"Ocupantes presentes (032)",25489,23426,2063
"Departamento en edificio",,,
"Viviendas particulares (034)",51,50,1
"Ocupantes presentes (035)",157,154,3
"Vivienda en quinta",,,
"Viviendas particulares (037)",386,363,23
"Ocupantes presentes (038)",1228,1152,76
"Vivienda en casa de vecindad",,,
"Viviendas particulares (040)",44,40,4
"Ocupantes presentes (041)",169,150,19
"Choza o cabaña",,,
"Vivienda improvisada",,,
"Viviendas particulares (046)",26,23,3
"Ocupantes presentes (047)",104,93,11
"Local no dest.para hab. humana",,,
"Viviendas particulares (049)",16,14,2
"Ocupantes presentes (050)",41,31,10
"Otro tipo",,,
,,,
RURAL,,,
"Viviendas particulares (055)",467,433,34
"Ocupantes presentes (056)",2004,1834,170
"Casa independiente",,,
"Viviendas particulares (058)",442,410,32
"Ocupantes presentes (059)",1905,1747,158
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Vivienda en casa de vecindad",,,
"Choza o cabaña",,,
"Viviendas particulares (070)",24,22,2
"Ocupantes presentes (071)",98,86,12
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Viviendas particulares (076)",1,1,
"Ocupantes presentes (077)",1,1,
"Otro tipo",,,
