"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia TAMBOPATA (000)",72942,10699,12903,3206,46319
"Quechua (001)",10202,680,1146,333,8051
"Aymara (002)",586,35,86,20,446
"Asháninka (003)",14,3,3,1,8
"Otra lengua nativa (004)",481,219,33,19,210
"Castellano (005)",61387,9751,11603,2781,37427
"Idioma Extranjero (006)",197,,17,51,129
"Es Sordomudo/a (007)",75,11,15,1,48
"Hombres (009)",38567,4967,6902,1962,24844
"Quechua (010)",5639,277,701,209,4457
"Aymara (011)",354,19,61,16,258
"Asháninka (012)",8,1,2,1,5
"Otra lengua nativa (013)",240,111,17,11,101
"Castellano (014)",32179,4553,6099,1703,19926
"Idioma Extranjero (015)",104,,9,22,73
"Es Sordomudo/a (016)",43,6,13,,24
"Mujeres (018)",34375,5732,6001,1244,21475
"Quechua (019)",4563,403,445,124,3594
"Aymara (020)",232,16,25,4,188
"Asháninka (021)",6,2,1,,3
"Otra lengua nativa (022)",241,108,16,8,109
"Castellano (023)",29208,5198,5504,1078,17501
"Idioma Extranjero (024)",93,,8,29,56
"Es Sordomudo/a (025)",32,5,2,1,24
,,,,,
"URBANA (027)",60831,8416,11824,2939,37817
"Quechua (028)",8109,536,991,295,6295
"Aymara (029)",484,27,71,16,371
"Asháninka (030)",10,2,2,1,6
"Otra lengua nativa (031)",187,41,27,4,115
"Castellano (032)",51805,7800,10704,2579,30877
"Idioma Extranjero (033)",170,,15,43,112
"Es Sordomudo/a (034)",66,10,14,1,41
"Hombres (036)",31325,3806,6106,1793,19712
"Quechua (037)",4310,196,580,177,3362
"Aymara (038)",284,14,49,12,209
"Asháninka (039)",6,1,1,1,4
"Otra lengua nativa (040)",86,26,12,3,45
"Castellano (041)",26516,3564,5445,1582,16011
"Idioma Extranjero (042)",85,,7,18,60
"Es Sordomudo/a (043)",38,5,12,,21
"Mujeres (045)",29506,4610,5718,1146,18105
"Quechua (046)",3799,340,411,118,2933
"Aymara (047)",200,13,22,4,162
"Asháninka (048)",4,1,1,,2
"Otra lengua nativa (049)",101,15,15,1,70
"Castellano (050)",25289,4236,5259,997,14866
"Idioma Extranjero (051)",85,,8,25,52
"Es Sordomudo/a (052)",28,5,2,1,20
,,,,,
"RURAL (054)",12111,2283,1079,267,8502
"Quechua (055)",2093,144,155,38,1756
"Aymara (056)",102,8,15,4,75
"Asháninka (057)",4,1,1,,2
"Otra lengua nativa (058)",294,178,6,15,95
"Castellano (059)",9582,1951,899,202,6550
"Idioma Extranjero (060)",27,,2,8,17
"Es Sordomudo/a (061)",9,1,1,,7
"Hombres (063)",7242,1161,796,169,5132
"Quechua (064)",1329,81,121,32,1095
"Aymara (065)",70,5,12,4,49
"Asháninka (066)",2,,1,,1
"Otra lengua nativa (067)",154,85,5,8,56
"Castellano (068)",5663,989,654,121,3915
"Idioma Extranjero (069)",19,,2,4,13
"Es Sordomudo/a (070)",5,1,1,,3
"Mujeres (072)",4869,1122,283,98,3370
"Quechua (073)",764,63,34,6,661
"Aymara (074)",32,3,3,,26
"Asháninka (075)",2,1,,,1
"Otra lengua nativa (076)",140,93,1,7,39
"Castellano (077)",3919,962,245,81,2635
"Idioma Extranjero (078)",8,,,4,4
"Es Sordomudo/a (079)",4,,,,4
