"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PUNO (000)",153,145,8
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",104,103,1
"Hospital, clinica (004)",3,3,
"Cárcel, centro de readaptación social (005)",1,1,
"Asilo (006)",3,3,
"Aldea infantil, orfelinato, etc (007)",5,5,
"Otro (008)",22,18,4
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",15,12,3
