"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CANGALLO (000)",32567,1710,9057,5622,4237,3724,2686,2241,3290
"Quechua (001)",29356,1394,7961,4964,3736,3408,2522,2161,3210
"Aymara (002)",24,,8,4,3,5,,2,2
"Ashaninca (003)",4,1,1,,1,1,,,
"Otra lengua nativa (004)",11,1,3,2,1,1,1,1,1
"Castellano (005)",3132,313,1073,641,490,304,159,77,75
"Idioma extranjero (006)",3,,,,,2,,,1
"Es sordomudo/a (007)",37,1,11,11,6,3,4,,1
"Hombres (009)",15527,838,4630,2771,1955,1788,1225,972,1348
"Quechua (010)",13772,672,4039,2421,1690,1595,1123,926,1306
"Aymara (011)",8,,3,2,1,1,,,1
"Ashaninca (012)",2,1,,,,1,,,
"Otra lengua nativa (013)",6,1,1,1,,,1,1,1
"Castellano (014)",1719,163,581,343,262,188,97,45,40
"Idioma extranjero (015)",1,,,,,1,,,
"Es sordomudo/a (016)",19,1,6,4,2,2,4,,
"Mujeres (018)",17040,872,4427,2851,2282,1936,1461,1269,1942
"Quechua (019)",15584,722,3922,2543,2046,1813,1399,1235,1904
"Aymara (020)",16,,5,2,2,4,,2,1
"Ashaninca (021)",2,,1,,1,,,,
"Otra lengua nativa (022)",5,,2,1,1,1,,,
"Castellano (023)",1413,150,492,298,228,116,62,32,35
"Idioma extranjero (024)",2,,,,,1,,,1
"Es sordomudo/a (025)",18,,5,7,4,1,,,1
,,,,,,,,,
"URBANA (027)",11376,556,3112,2046,1586,1460,909,703,1004
"Quechua (028)",9339,366,2412,1658,1260,1245,805,650,943
"Aymara (029)",3,,,1,,1,,,1
"Otra lengua nativa (031)",8,1,3,2,,1,1,,
"Castellano (032)",2013,189,695,382,324,211,101,53,58
"Idioma extranjero (033)",3,,,,,2,,,1
"Es sordomudo/a (034)",10,,2,3,2,,2,,1
"Hombres (036)",5471,275,1600,1021,720,723,429,311,392
"Quechua (037)",4414,175,1229,817,575,601,372,281,364
"Aymara (038)",1,,,,,1,,,
"Otra lengua nativa (040)",4,1,1,1,,,1,,
"Castellano (041)",1049,99,370,203,145,120,54,30,28
"Idioma extranjero (042)",1,,,,,1,,,
"Es sordomudo/a (043)",2,,,,,,2,,
"Mujeres (045)",5905,281,1512,1025,866,737,480,392,612
"Quechua (046)",4925,191,1183,841,685,644,433,369,579
"Aymara (047)",2,,,1,,,,,1
"Otra lengua nativa (049)",4,,2,1,,1,,,
"Castellano (050)",964,90,325,179,179,91,47,23,30
"Idioma extranjero (051)",2,,,,,1,,,1
"Es sordomudo/a (052)",8,,2,3,2,,,,1
,,,,,,,,,
"RURAL (054)",21191,1154,5945,3576,2651,2264,1777,1538,2286
"Quechua (055)",20017,1028,5549,3306,2476,2163,1717,1511,2267
"Aymara (056)",21,,8,3,3,4,,2,1
"Ashaninca (057)",4,1,1,,1,1,,,
"Otra lengua nativa (058)",3,,,,1,,,1,1
"Castellano (059)",1119,124,378,259,166,93,58,24,17
"Es sordomudo/a (061)",27,1,9,8,4,3,2,,
"Hombres (063)",10056,563,3030,1750,1235,1065,796,661,956
"Quechua (064)",9358,497,2810,1604,1115,994,751,645,942
"Aymara (065)",7,,3,2,1,,,,1
"Ashaninca (066)",2,1,,,,1,,,
"Otra lengua nativa (067)",2,,,,,,,1,1
"Castellano (068)",670,64,211,140,117,68,43,15,12
"Es sordomudo/a (070)",17,1,6,4,2,2,2,,
"Mujeres (072)",11135,591,2915,1826,1416,1199,981,877,1330
"Quechua (073)",10659,531,2739,1702,1361,1169,966,866,1325
"Aymara (074)",14,,5,1,2,4,,2,
"Ashaninca (075)",2,,1,,1,,,,
"Otra lengua nativa (076)",1,,,,1,,,,
"Castellano (077)",449,60,167,119,49,25,15,9,5
"Es sordomudo/a (079)",10,,3,4,2,1,,,
