"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia BAGUA",,,,,,,,,
"Viviendas particulares (001)",8012,3518,765,198,475,56,120,12,2868
"Ocupantes presentes (002)",31854,13403,3008,736,2058,174,402,40,12033
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",7268,2999,699,158,463,51,118,11,2769
"Ocupantes presentes (005)",29625,11900,2802,594,2028,169,392,39,11701
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",67,48,4,6,2,,,,7
"Ocupantes presentes (008)",184,136,22,11,3,,,,12
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",416,314,44,10,6,2,,,40
"Ocupantes presentes (011)",1191,909,138,27,18,2,,,97
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",195,151,14,1,4,3,,1,21
"Ocupantes presentes (014)",538,443,36,4,9,3,,1,42
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",50,,,21,,,,,29
"Ocupantes presentes (017)",267,,,94,,,,,173
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",2,,,1,,,,,1
"Ocupantes presentes (020)",10,,,3,,,,,7
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",14,6,4,1,,,2,,1
"Ocupantes presentes (023)",39,15,10,3,,,10,,1
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",6374,3504,714,173,421,56,119,10,1377
"Ocupantes presentes (029)",24647,13325,2802,624,1835,174,398,33,5456
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",5681,2985,648,154,409,51,117,9,1308
"Ocupantes presentes (032)",22686,11822,2596,576,1805,169,388,32,5298
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",67,48,4,6,2,,,,7
"Ocupantes presentes (035)",184,136,22,11,3,,,,12
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",416,314,44,10,6,2,,,40
"Ocupantes presentes (038)",1191,909,138,27,18,2,,,97
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",195,151,14,1,4,3,,1,21
"Ocupantes presentes (041)",538,443,36,4,9,3,,1,42
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",2,,,1,,,,,1
"Ocupantes presentes (047)",10,,,3,,,,,7
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",13,6,4,1,,,2,,
"Ocupantes presentes (050)",38,15,10,3,,,10,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",1638,14,51,25,54,,1,2,1491
"Ocupantes presentes (056)",7207,78,206,112,223,,4,7,6577
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",1587,14,51,4,54,,1,2,1461
"Ocupantes presentes (059)",6939,78,206,18,223,,4,7,6403
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",50,,,21,,,,,29
"Ocupantes presentes (071)",267,,,94,,,,,173
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",1,,,,,,,,1
"Ocupantes presentes (077)",1,,,,,,,,1
"Otro tipo",,,,,,,,,
