"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia OXAPAMPA (000)",46060,42467,3593
"Hombres (001)",24937,23058,1879
"Mujeres (002)",21123,19409,1714
"De 18 a 29 años (003)",16801,14648,2153
"Hombres (004)",8972,7731,1241
"Mujeres (005)",7829,6917,912
"De 30 a 44 años (006)",15677,15140,537
"Hombres (007)",8287,8030,257
"Mujeres (008)",7390,7110,280
"De 45 a 64 años (009)",10137,9711,426
"Hombres (010)",5665,5483,182
"Mujeres (011)",4472,4228,244
"De 65 y más años (012)",3445,2968,477
"Hombres (013)",2013,1814,199
"Mujeres (014)",1432,1154,278
,,,
"URBANA (015)",18821,18051,770
"Hombres (016)",9991,9496,495
"Mujeres (017)",8830,8555,275
"De 18 a 29 años (018)",6508,5933,575
"Hombres (019)",3450,3049,401
"Mujeres (020)",3058,2884,174
"De 30 a 44 años (021)",6786,6704,82
"Hombres (022)",3461,3416,45
"Mujeres (023)",3325,3288,37
"De 45 a 64 años (024)",4248,4207,41
"Hombres (025)",2348,2324,24
"Mujeres (026)",1900,1883,17
"De 65 y más años (027)",1279,1207,72
"Hombres (028)",732,707,25
"Mujeres (029)",547,500,47
,,,
"RURAL (030)",27239,24416,2823
"Hombres (031)",14946,13562,1384
"Mujeres (032)",12293,10854,1439
"De 18 a 29 años (033)",10293,8715,1578
"Hombres (034)",5522,4682,840
"Mujeres (035)",4771,4033,738
"De 30 a 44 años (036)",8891,8436,455
"Hombres (037)",4826,4614,212
"Mujeres (038)",4065,3822,243
"De 45 a 64 años (039)",5889,5504,385
"Hombres (040)",3317,3159,158
"Mujeres (041)",2572,2345,227
"De 65 y más años (042)",2166,1761,405
"Hombres (043)",1281,1107,174
"Mujeres (044)",885,654,231
