"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia RODRIGUEZ DE MENDOZA (000)",19706,3182,3339,3788,3377,2382,3638
"Católica (001)",15181,2355,2424,2829,2701,1892,2980
"Cristiana/Evangélica (002)",1970,347,339,384,302,240,358
"Otra (003)",1971,392,409,442,294,186,248
"Ninguna (004)",584,88,167,133,80,64,52
"Hombres (006)",10481,1670,1831,2022,1809,1329,1820
"Católica (007)",8086,1240,1339,1507,1451,1060,1489
"Cristiana/Evangélica (008)",963,175,158,184,150,121,175
"Otra (009)",1013,200,213,229,155,100,116
"Ninguna (010)",419,55,121,102,53,48,40
"Mujeres (012)",9225,1512,1508,1766,1568,1053,1818
"Católica (013)",7095,1115,1085,1322,1250,832,1491
"Cristiana/Evangélica (014)",1007,172,181,200,152,119,183
"Otra (015)",958,192,196,213,139,86,132
"Ninguna (016)",165,33,46,31,27,16,12
,,,,,,,
"URBANA (018)",6702,1140,943,1166,1279,882,1292
"Católica (019)",5679,919,773,990,1121,759,1117
"Cristiana/Evangélica (020)",441,90,50,63,73,53,112
"Otra (021)",431,109,86,79,65,47,45
"Ninguna (022)",151,22,34,34,20,23,18
"Hombres (024)",3378,579,471,577,637,490,624
"Católica (025)",2858,472,382,480,567,415,542
"Cristiana/Evangélica (026)",204,45,20,31,29,29,50
"Otra (027)",211,51,43,41,30,27,19
"Ninguna (028)",105,11,26,25,11,19,13
"Mujeres (030)",3324,561,472,589,642,392,668
"Católica (031)",2821,447,391,510,554,344,575
"Cristiana/Evangélica (032)",237,45,30,32,44,24,62
"Otra (033)",220,58,43,38,35,20,26
"Ninguna (034)",46,11,8,9,9,4,5
,,,,,,,
"RURAL (036)",13004,2042,2396,2622,2098,1500,2346
"Católica (037)",9502,1436,1651,1839,1580,1133,1863
"Cristiana/Evangélica (038)",1529,257,289,321,229,187,246
"Otra (039)",1540,283,323,363,229,139,203
"Ninguna (040)",433,66,133,99,60,41,34
"Hombres (042)",7103,1091,1360,1445,1172,839,1196
"Católica (043)",5228,768,957,1027,884,645,947
"Cristiana/Evangélica (044)",759,130,138,153,121,92,125
"Otra (045)",802,149,170,188,125,73,97
"Ninguna (046)",314,44,95,77,42,29,27
"Mujeres (048)",5901,951,1036,1177,926,661,1150
"Católica (049)",4274,668,694,812,696,488,916
"Cristiana/Evangélica (050)",770,127,151,168,108,95,121
"Otra (051)",738,134,153,175,104,66,106
"Ninguna (052)",119,22,38,22,18,12,7
