"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CHOTA (000)",43359,532,16299,13856,4508,1559,696,202,45,,5662
"Catolica (001)",35075,422,13022,11135,3711,1301,595,175,38,,4676
"Cristiana / Evangelica (002)",5409,57,2073,1829,534,172,76,19,4,,645
"Otra (003)",1488,28,604,477,143,44,16,6,1,,169
"Ninguna (004)",1387,25,600,415,120,42,9,2,2,,172
,,,,,,,,,,,
"URBANA (006)",9207,96,2748,2832,1271,526,222,64,12,,1436
"Catolica (007)",7988,84,2332,2461,1110,470,207,57,11,,1256
"Cristiana / Evangelica (008)",860,7,278,280,115,42,13,4,,,121
"Otra (009)",237,4,85,61,30,12,,2,1,,42
"Ninguna (010)",122,1,53,30,16,2,2,1,,,17
,,,,,,,,,,,
"RURAL (012)",34152,436,13551,11024,3237,1033,474,138,33,,4226
"Catolica (013)",27087,338,10690,8674,2601,831,388,118,27,,3420
"Cristiana / Evangelica (014)",4549,50,1795,1549,419,130,63,15,4,,524
"Otra (015)",1251,24,519,416,113,32,16,4,,,127
"Ninguna (016)",1265,24,547,385,104,40,7,1,2,,155
