"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia AYABACA (000)",1580,621,959
"Sin nivel (001)",155,53,102
"Primaria (003)",852,315,537
"Secundaria (004)",377,178,199
"Superior no univ. incompleta (005)",40,17,23
"Superior no univ. completa (006)",95,30,65
"Superior univ. incompleta (007)",20,13,7
"Superior univ. completa (008)",41,15,26
"Hombres (010)",1319,468,851
"Sin nivel (011)",127,35,92
"Primaria (013)",751,252,499
"Secundaria (014)",317,139,178
"Superior no univ. incompleta (015)",23,8,15
"Superior no univ. completa (016)",59,15,44
"Superior univ. incompleta (017)",14,9,5
"Superior univ. completa (018)",28,10,18
"Mujeres (020)",261,153,108
"Sin nivel (021)",28,18,10
"Primaria (023)",101,63,38
"Secundaria (024)",60,39,21
"Superior no univ. incompleta (025)",17,9,8
"Superior no univ. completa (026)",36,15,21
"Superior univ. incompleta (027)",6,4,2
"Superior univ. completa (028)",13,5,8
,,,
"AREA URBANA (030)",358,139,219
"Sin nivel (031)",10,,10
"Primaria (033)",74,28,46
"Secundaria (034)",114,50,64
"Superior no univ. incompleta (035)",31,10,21
"Superior no univ. completa (036)",75,25,50
"Superior univ. incompleta (037)",18,11,7
"Superior univ. completa (038)",36,15,21
"Hombres (040)",255,86,169
"Sin nivel (041)",8,,8
"Primaria (043)",56,16,40
"Secundaria (044)",90,37,53
"Superior no univ. incompleta (045)",18,4,14
"Superior no univ. completa (046)",46,12,34
"Superior univ. incompleta (047)",12,7,5
"Superior univ. completa (048)",25,10,15
"Mujeres (050)",103,53,50
"Sin nivel (051)",2,,2
"Primaria (053)",18,12,6
"Secundaria (054)",24,13,11
"Superior no univ. incompleta (055)",13,6,7
"Superior no univ. completa (056)",29,13,16
"Superior univ. incompleta (057)",6,4,2
"Superior univ. completa (058)",11,5,6
,,,
"AREA RURAL (060)",1222,482,740
"Sin nivel (061)",145,53,92
"Primaria (063)",778,287,491
"Secundaria (064)",263,128,135
"Superior no univ. incompleta (065)",9,7,2
"Superior no univ. completa (066)",20,5,15
"Superior univ. incompleta (067)",2,2,
"Superior univ. completa (068)",5,,5
"Hombres (070)",1064,382,682
"Sin nivel (071)",119,35,84
"Primaria (073)",695,236,459
"Secundaria (074)",227,102,125
"Superior no univ. incompleta (075)",5,4,1
"Superior no univ. completa (076)",13,3,10
"Superior univ. incompleta (077)",2,2,
"Superior univ. completa (078)",3,,3
"Mujeres (080)",158,100,58
"Sin nivel (081)",26,18,8
"Primaria (083)",83,51,32
"Secundaria (084)",36,26,10
"Superior no univ. incompleta (085)",4,3,1
"Superior no univ. completa (086)",7,2,5
"Superior univ. completa (088)",2,,2
