"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia TAYACAJA (000)",25724,336,11330,8080,1973,637,264,124,23,,2957
"Catolica (001)",19681,250,8526,6244,1572,498,209,90,18,,2274
"Cristiana / Evangelica (002)",5783,81,2689,1759,387,133,54,29,5,,646
"Otra (003)",154,2,76,46,9,2,,1,,,18
"Ninguna (004)",106,3,39,31,5,4,1,4,,,19
,,,,,,,,,,,
"URBANA (006)",6573,84,2510,2072,648,230,121,49,7,,852
"Catolica (007)",5293,62,1977,1704,535,185,96,35,5,,694
"Cristiana / Evangelica (008)",1173,19,489,336,105,41,24,10,2,,147
"Otra (009)",55,2,19,20,5,2,,,,,7
"Ninguna (010)",52,1,25,12,3,2,1,4,,,4
,,,,,,,,,,,
"RURAL (012)",19151,252,8820,6008,1325,407,143,75,16,,2105
"Catolica (013)",14388,188,6549,4540,1037,313,113,55,13,,1580
"Cristiana / Evangelica (014)",4610,62,2200,1423,282,92,30,19,3,,499
"Otra (015)",99,,57,26,4,,,1,,,11
"Ninguna (016)",54,2,14,19,2,2,,,,,15
