"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CORONEL PORTILLO (000)",121102,1887,110,29339,55761,8398,10405,5495,9707
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",250,,,4,31,16,63,19,117
"Profes., científicos e intelectuales (002)",10341,,,,276,665,2855,1256,5289
"Técnicos de nivel medio ytrab.asimilados (003)",5558,4,1,182,1221,1073,1598,681,798
"Jefes y empleados de oficina (004)",6110,,,60,1896,892,1411,746,1105
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",21858,221,13,5055,12008,1641,1226,905,789
"Agricult.trabaj. calif.agrop. y pesquros (006)",14374,633,11,7360,5613,304,218,113,122
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",12959,105,5,2599,7565,969,943,403,370
"Obreros. construc., conf., papel, fab., instr (008)",15516,86,14,2282,10170,1230,749,598,387
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",28004,726,62,10396,14158,1191,680,492,299
"Otra (010)",1082,,,,314,81,383,114,190
"Ocupación no especificada (011)",5050,112,4,1401,2509,336,279,168,241
"Hombres (012)",80101,964,67,18738,39355,5487,5816,3719,5955
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",197,,,2,27,14,52,15,87
"Profes., científicos e intelectuales (014)",5342,,,,125,327,1170,753,2967
"Técnicos de nivel medio ytrab.asimilados (015)",3693,3,1,110,835,765,977,462,540
"Jefes y empleados de oficina (016)",3094,,,39,1065,418,533,403,636
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",9989,48,5,1944,5687,765,540,539,461
"Agricult.trabaj. calif.agrop. y pesquros (018)",12602,451,7,6364,5107,280,185,98,110
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",11017,70,5,2072,6567,833,807,349,314
"Obreros. construc., conf., papel, fab., instr (020)",14764,47,12,2025,9847,1195,714,569,355
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",15264,298,37,5394,8157,606,311,306,155
"Otra (022)",1029,,,,299,77,366,105,182
"Ocupación no especificada (023)",3110,47,,788,1639,207,161,120,148
"Mujeres (024)",41001,923,43,10601,16406,2911,4589,1776,3752
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",53,,,2,4,2,11,4,30
"Profes., científicos e intelectuales (026)",4999,,,,151,338,1685,503,2322
"Técnicos de nivel medio ytrab.asimilados (027)",1865,1,,72,386,308,621,219,258
"Jefes y empleados de oficina (028)",3016,,,21,831,474,878,343,469
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",11869,173,8,3111,6321,876,686,366,328
"Agricult.trabaj. calif.agrop. y pesquros (030)",1772,182,4,996,506,24,33,15,12
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",1942,35,,527,998,136,136,54,56
"Obreros. construc., conf., papel, fab., instr (032)",752,39,2,257,323,35,35,29,32
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",12740,428,25,5002,6001,585,369,186,144
"Otra (034)",53,,,,15,4,17,9,8
"Ocupación no especificada (035)",1940,65,4,613,870,129,118,48,93
,,,,,,,,,
