"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia HUARI (000)",16955,127,5406,6036,4033,1353
"Agric., ganadería, caza y silvicultura (001)",6561,61,1803,1865,1924,908
"Pesca (002)",4,,1,2,1,
"Explotación de minas y canteras (003)",1066,,352,578,133,3
"Industrias manufactureras (004)",377,,132,136,77,32
"Suministro de electricidad, gas y agua (005)",81,1,35,25,15,5
"Construcción (006)",1798,9,635,675,408,71
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1080,13,310,435,261,61
"Venta, mant.y rep. veh.autom.y motoc. (008)",174,,69,76,27,2
"Comercio al por mayor (009)",43,,11,21,11,
"Comercio al por menor (010)",863,13,230,338,223,59
"Hoteles y restaurantes (011)",426,6,199,122,81,18
"Trans., almac. y comunicaciones (012)",336,4,145,125,55,7
"Intermediación financiera (013)",7,,5,2,,
"Activid.inmobil., empres. y alquileres (014)",556,1,242,251,57,5
"Admin.pub. y defensa; p. segur.soc afil (015)",657,,242,245,154,16
"Enseñanza (016)",1259,,193,734,327,5
"Servicios sociales y de salud (017)",234,,67,121,45,1
"Otras activ. serv.comun.soc y personales (018)",443,3,190,146,87,17
"Hogares privados con servicio doméstico (019)",223,3,101,55,47,17
"Actividad economica no especificada (021)",635,,180,182,170,103
"Desocupado (022)",1212,26,574,337,191,84
"Hombres (023)",13927,91,4378,4935,3353,1170
"Agric., ganadería, caza y silvicultura (024)",6115,49,1676,1751,1783,856
"Pesca (025)",4,,1,2,1,
"Explotación de minas y canteras (026)",1029,,326,568,132,3
"Industrias manufactureras (027)",338,,115,126,67,30
"Suministro de electricidad, gas y agua (028)",79,1,33,25,15,5
"Construcción (029)",1727,9,608,650,394,66
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",657,10,203,256,151,37
"Venta, mant.y rep. veh.autom.y motoc. (031)",170,,69,72,27,2
"Comercio al por mayor (032)",24,,5,12,7,
"Comercio al por menor (033)",463,10,129,172,117,35
"Hoteles y restaurantes (034)",163,1,87,44,24,7
"Trans., almac. y comunicaciones (035)",308,4,124,122,51,7
"Intermediación financiera (036)",5,,3,2,,
"Activid.inmobil., empres. y alquileres (037)",497,,213,229,51,4
"Admin.pub. y defensa; p. segur.soc afil (038)",538,,189,203,133,13
"Enseñanza (039)",749,,99,432,214,4
"Servicios sociales y de salud (040)",93,,18,47,28,
"Otras activ. serv.comun.soc y personales (041)",329,,142,107,67,13
