"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia BARRANCA (000)",39073,35325,82,8754,8700,5894,6827,3277,1343,448,3748,110845
"De 12 a 14 años (001)",52,18,1,16,1,,,,,,34,18
"De 15 a 19 años (002)",971,781,4,697,68,9,3,,,,190,872
"De 20 a 24 años (003)",4047,2923,15,2133,665,88,17,5,,,1124,3831
"De 25 a 29 años (004)",5028,4034,10,2004,1465,447,99,8,1,,994,6743
"De 30 a 34 años (005)",4722,4259,12,1271,1706,829,401,30,3,7,463,9152
"De 35 a 39 años (006)",4551,4269,7,867,1488,1004,746,138,15,4,282,11068
"De 40 a 44 años (007)",4034,3829,6,558,1116,931,919,247,40,12,205,11617
"De 45 a 49 años (008)",3329,3185,3,341,697,734,930,365,99,16,144,11377
"De 50 y más años (009)",12339,12027,24,867,1494,1852,3712,2484,1185,409,312,56167
"PEA (010)",14462,12507,31,3450,3367,2165,2211,897,296,90,1955,35471
"De 12 a 14 años (011)",3,3,,3,,,,,,,,3
"De 15 a 19 años (012)",179,134,,116,13,4,1,,,,45,158
"De 20 a 24 años (013)",1351,810,7,619,155,21,5,3,,,541,1032
"De 25 a 29 años (014)",2023,1419,2,802,443,136,34,2,,,604,2247
"De 30 a 34 años (015)",2058,1761,5,612,684,290,154,11,2,3,297,3616
"De 35 a 39 años (016)",2199,2017,4,491,671,445,338,61,6,1,182,5056
"De 40 a 44 años (017)",1977,1865,3,321,583,420,412,104,16,6,112,5387
"De 45 a 49 años (018)",1556,1478,2,205,342,344,398,143,37,7,78,4976
"De 50 y más años (019)",3116,3020,8,281,476,505,869,573,235,73,96,12996
"Ocupada (020)",14058,12231,31,3351,3297,2121,2166,885,291,89,1827,34768
