"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia PACASMAYO (000)",38469,5270,10428,10086,12685
"Asiste actualmente (001)",26377,3255,10037,8935,4150
"No asiste (002)",12092,2015,391,1151,8535
"Hombres (004)",19268,2663,5212,5053,6340
"Asiste actualmente (005)",13194,1618,5026,4468,2082
"No asiste (006)",6074,1045,186,585,4258
"Mujeres (008)",19201,2607,5216,5033,6345
"Asiste actualmente (009)",13183,1637,5011,4467,2068
"No asiste (010)",6018,970,205,566,4277
,,,,,
"URBANA (012)",35618,4869,9646,9397,11706
"Asiste actualmente (013)",24720,3069,9306,8396,3949
"No asiste (014)",10898,1800,340,1001,7757
"Hombres (016)",17797,2449,4819,4704,5825
"Asiste actualmente (017)",12316,1511,4655,4188,1962
"No asiste (018)",5481,938,164,516,3863
"Mujeres (020)",17821,2420,4827,4693,5881
"Asiste actualmente (021)",12404,1558,4651,4208,1987
"No asiste (022)",5417,862,176,485,3894
,,,,,
"RURAL (024)",2851,401,782,689,979
"Asiste actualmente (025)",1657,186,731,539,201
"No asiste (026)",1194,215,51,150,778
"Hombres (028)",1471,214,393,349,515
"Asiste actualmente (029)",878,107,371,280,120
"No asiste (030)",593,107,22,69,395
"Mujeres (032)",1380,187,389,340,464
"Asiste actualmente (033)",779,79,360,259,81
"No asiste (034)",601,108,29,81,383
