"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia CAJATAMBO (000)",3448,544,1196,948,760
"Asiste actualmente (001)",2475,298,1130,847,200
"No asiste (002)",973,246,66,101,560
"Hombres (004)",1769,272,600,488,409
"Asiste actualmente (005)",1254,142,570,433,109
"No asiste (006)",515,130,30,55,300
"Mujeres (008)",1679,272,596,460,351
"Asiste actualmente (009)",1221,156,560,414,91
"No asiste (010)",458,116,36,46,260
,,,,,
"URBANA (012)",2075,306,717,642,410
"Asiste actualmente (013)",1622,186,692,600,144
"No asiste (014)",453,120,25,42,266
"Hombres (016)",1078,154,377,327,220
"Asiste actualmente (017)",836,88,365,304,79
"No asiste (018)",242,66,12,23,141
"Mujeres (020)",997,152,340,315,190
"Asiste actualmente (021)",786,98,327,296,65
"No asiste (022)",211,54,13,19,125
,,,,,
"RURAL (024)",1373,238,479,306,350
"Asiste actualmente (025)",853,112,438,247,56
"No asiste (026)",520,126,41,59,294
"Hombres (028)",691,118,223,161,189
"Asiste actualmente (029)",418,54,205,129,30
"No asiste (030)",273,64,18,32,159
"Mujeres (032)",682,120,256,145,161
"Asiste actualmente (033)",435,58,233,118,26
"No asiste (034)",247,62,23,27,135
