"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia MARISCAL NIETO (000)",65871,5775,21160,4125,35049
"Hombres (001)",33628,2659,11535,2642,16959
"Mujeres (002)",32243,3116,9625,1483,18090
"PEA (003)",34884,1719,12310,2502,18518
"Hombres (004)",21298,905,7957,1872,10694
"Mujeres (005)",13586,814,4353,630,7824
"Ocupada (006)",31645,1543,11814,2344,16106
"Hombres (007)",19464,819,7693,1763,9317
"Mujeres (008)",12181,724,4121,581,6789
"Desocupada (009)",3239,176,496,158,2412
"Hombres (010)",1834,86,264,109,1377
"Mujeres (011)",1405,90,232,49,1035
"No PEA (012)",30987,4056,8850,1623,16531
"Hombres (013)",12330,1754,3578,770,6265
"Mujeres (014)",18657,2302,5272,853,10266
,,,,,
"URBANA (018)",56641,5116,18888,3612,29256
"Hombres (019)",28375,2322,9946,2315,13952
"Mujeres (020)",28266,2794,8942,1297,15304
"PEA (021)",29303,1567,10524,2147,15223
"Hombres (022)",17448,811,6538,1616,8606
"Mujeres (023)",11855,756,3986,531,6617
"Ocupada (024)",26327,1396,10049,2003,13034
"Hombres (025)",15802,729,6287,1518,7389
"Mujeres (026)",10525,667,3762,485,5645
"Desocupada (027)",2976,171,475,144,2189
"Hombres (028)",1646,82,251,98,1217
"Mujeres (029)",1330,89,224,46,972
"No PEA (030)",27338,3549,8364,1465,14033
"Hombres (031)",10927,1511,3408,699,5346
"Mujeres (032)",16411,2038,4956,766,8687
,,,,,
"RURAL (036)",9230,659,2272,513,5793
"Hombres (037)",5253,337,1589,327,3007
"Mujeres (038)",3977,322,683,186,2786
"PEA (039)",5581,152,1786,355,3295
"Hombres (040)",3850,94,1419,256,2088
"Mujeres (041)",1731,58,367,99,1207
"Ocupada (042)",5318,147,1765,341,3072
"Hombres (043)",3662,90,1406,245,1928
"Mujeres (044)",1656,57,359,96,1144
"Desocupada (045)",263,5,21,14,223
"Hombres (046)",188,4,13,11,160
"Mujeres (047)",75,1,8,3,63
"No PEA (048)",3649,507,486,158,2498
"Hombres (049)",1403,243,170,71,919
"Mujeres (050)",2246,264,316,87,1579
