"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia CAJABAMBA",,,,,,,,,
"Viviendas particulares (001)",11183,390,545,338,2151,180,109,137,7333
"Ocupantes presentes (002)",48182,1691,2371,1527,9346,807,522,613,31305
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",11102,389,541,328,2120,177,108,137,7302
"Ocupantes presentes (005)",47804,1689,2349,1474,9198,786,516,613,31179
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",7,,,1,2,,1,,3
"Ocupantes presentes (008)",26,,,6,6,,6,,8
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",32,,1,4,12,1,,,14
"Ocupantes presentes (011)",174,,5,29,66,11,,,63
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",32,,2,4,13,2,,,11
"Ocupantes presentes (014)",137,,16,13,55,10,,,43
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",3,,,,3,,,,
"Ocupantes presentes (017)",15,,,,15,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",2,1,,,,,,,1
"Ocupantes presentes (020)",6,2,,,,,,,4
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",5,,1,1,1,,,,2
"Ocupantes presentes (023)",20,,1,5,6,,,,8
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",3783,207,257,252,1287,164,58,39,1519
"Ocupantes presentes (029)",16501,855,1135,1151,5729,725,259,191,6456
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",3706,206,253,242,1259,161,57,39,1489
"Ocupantes presentes (032)",16141,853,1113,1098,5596,704,253,191,6333
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",7,,,1,2,,1,,3
"Ocupantes presentes (035)",26,,,6,6,,6,,8
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",32,,1,4,12,1,,,14
"Ocupantes presentes (038)",174,,5,29,66,11,,,63
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",32,,2,4,13,2,,,11
"Ocupantes presentes (041)",137,,16,13,55,10,,,43
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",2,1,,,,,,,1
"Ocupantes presentes (047)",6,2,,,,,,,4
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",4,,1,1,1,,,,1
"Ocupantes presentes (050)",17,,1,5,6,,,,5
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",7400,183,288,86,864,16,51,98,5814
"Ocupantes presentes (056)",31681,836,1236,376,3617,82,263,422,24849
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",7396,183,288,86,861,16,51,98,5813
"Ocupantes presentes (059)",31663,836,1236,376,3602,82,263,422,24846
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",3,,,,3,,,,
"Ocupantes presentes (071)",15,,,,15,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",1,,,,,,,,1
"Ocupantes presentes (077)",3,,,,,,,,3
"Otro tipo",,,,,,,,,
