"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia AIJA (000)",167,31,136
"De 14 a 29 años (001)",78,20,58
"De 30 a 44 años (002)",50,9,41
"De 45 a 64 años (003)",28,2,26
"De 65 y más años (004)",11,,11
"Hombres (005)",152,22,130
"De 14 a 29 años (006)",67,11,56
"De 30 a 44 años (007)",47,9,38
"De 45 a 64 años (008)",27,2,25
"De 65 y más años (009)",11,,11
"Mujeres (010)",15,9,6
"De 14 a 29 años (011)",11,9,2
"De 30 a 44 años (012)",3,,3
"De 45 a 64 años (013)",1,,1
,,,
"AREA URBANA (015)",47,7,40
"De 14 a 29 años (016)",22,7,15
"De 30 a 44 años (017)",13,,13
"De 45 a 64 años (018)",6,,6
"De 65 y más años (019)",6,,6
"Hombres (020)",38,2,36
"De 14 a 29 años (021)",16,2,14
"De 30 a 44 años (022)",10,,10
"De 45 a 64 años (023)",6,,6
"De 65 y más años (024)",6,,6
"Mujeres (025)",9,5,4
"De 14 a 29 años (026)",6,5,1
"De 30 a 44 años (027)",3,,3
,,,
"AREA RURAL (030)",120,24,96
"De 14 a 29 años (031)",56,13,43
"De 30 a 44 años (032)",37,9,28
"De 45 a 64 años (033)",22,2,20
"De 65 y más años (034)",5,,5
"Hombres (035)",114,20,94
"De 14 a 29 años (036)",51,9,42
"De 30 a 44 años (037)",37,9,28
"De 45 a 64 años (038)",21,2,19
"De 65 y más años (039)",5,,5
"Mujeres (040)",6,4,2
"De 14 a 29 años (041)",5,4,1
"De 45 a 64 años (043)",1,,1
