"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia UTCUBAMBA (000)",93972,23082,8770,2883,59396
"Hombres (001)",49208,11133,4413,1934,31852
"Mujeres (002)",44764,11949,4357,949,27544
"PEA (003)",37215,2655,3985,1279,29405
"Hombres (004)",30247,1922,2691,1054,24678
"Mujeres (005)",6968,733,1294,225,4727
"Ocupada (006)",35569,2518,3879,1245,28034
"Hombres (007)",28964,1827,2615,1029,23590
"Mujeres (008)",6605,691,1264,216,4444
"Desocupada (009)",1646,137,106,34,1371
"Hombres (010)",1283,95,76,25,1088
"Mujeres (011)",363,42,30,9,283
"No PEA (012)",56757,20427,4785,1604,29991
"Hombres (013)",18961,9211,1722,880,7174
"Mujeres (014)",37796,11216,3063,724,22817
,,,,,
"URBANA (018)",41289,7622,6763,2326,24707
"Hombres (019)",21303,3627,3366,1627,12791
"Mujeres (020)",19986,3995,3397,699,11916
"PEA (021)",17427,1108,3154,1035,12229
"Hombres (022)",12668,694,2024,842,9199
"Mujeres (023)",4759,414,1130,193,3030
"Ocupada (024)",16453,1034,3071,1010,11436
"Hombres (025)",11933,638,1965,825,8595
"Mujeres (026)",4520,396,1106,185,2841
"Desocupada (027)",974,74,83,25,793
"Hombres (028)",735,56,59,17,604
"Mujeres (029)",239,18,24,8,189
"No PEA (030)",23862,6514,3609,1291,12478
"Hombres (031)",8635,2933,1342,785,3592
"Mujeres (032)",15227,3581,2267,506,8886
,,,,,
"RURAL (036)",52683,15460,2007,557,34689
"Hombres (037)",27905,7506,1047,307,19061
"Mujeres (038)",24778,7954,960,250,15628
"PEA (039)",19788,1547,831,244,17176
"Hombres (040)",17579,1228,667,212,15479
"Mujeres (041)",2209,319,164,32,1697
"Ocupada (042)",19116,1484,808,235,16598
"Hombres (043)",17031,1189,650,204,14995
"Mujeres (044)",2085,295,158,31,1603
"Desocupada (045)",672,63,23,9,578
"Hombres (046)",548,39,17,8,484
"Mujeres (047)",124,24,6,1,94
"No PEA (048)",32895,13913,1176,313,17513
"Hombres (049)",10326,6278,380,95,3582
"Mujeres (050)",22569,7635,796,218,13931
