"CUADRO Nº 23: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia HUARI (000)",15743,3427,5133,5452,97,1411,223
"Agric., ganadería, caza y silvicultura (001)",6561,26,1562,3916,28,1029,
"Pesca (002)",4,,3,1,,,
"Explotación de minas y canteras (003)",1066,269,792,4,1,,
"Industrias manufactureras (004)",377,24,155,180,7,11,
"Suministro de electricidad, gas y agua (005)",81,8,72,1,,,
"Construcción (006)",1798,166,1521,90,9,12,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1080,151,177,620,11,121,
"Venta, mant.y rep. veh.autom.y motoc. (008)",174,51,89,31,1,2,
"Comercio al por mayor (009)",43,9,4,24,3,3,
"Comercio al por menor (010)",863,91,84,565,7,116,
"Hoteles y restaurantes (011)",426,162,45,177,11,31,
"Trans., almac. y comunicaciones (012)",336,126,94,93,12,11,
"Intermediación financiera (013)",7,7,,,,,
"Activid.inmobil., empres. y alquileres (014)",556,442,84,24,3,3,
"Admin.pub. y defensa; p. segur.soc.afil (015)",657,383,274,,,,
"Enseñanza (016)",1259,1209,5,40,,5,
"Servicios sociales y de salud (017)",234,211,6,10,3,4,
"Otras activ. serv.comun.soc y personales (018)",443,161,182,87,2,11,
"Hogares privados con servicio doméstico (019)",223,,,,,,223
"Actividad economica no especificada (021)",635,82,161,209,10,173,
"Hombres (022)",12904,2373,4825,4607,77,1005,17
"Agric., ganadería, caza y silvicultura (023)",6115,25,1455,3749,28,858,
"Pesca (024)",4,,3,1,,,
"Explotación de minas y canteras (025)",1029,243,781,4,1,,
"Industrias manufactureras (026)",338,20,149,151,7,11,
"Suministro de electricidad, gas y agua (027)",79,8,70,1,,,
"Construcción (028)",1727,146,1471,89,9,12,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",657,119,176,312,6,44,
"Venta, mant.y rep. veh.autom.y motoc. (030)",170,49,89,29,1,2,
"Comercio al por mayor (031)",24,6,3,13,2,,
"Comercio al por menor (032)",463,64,84,270,3,42,
"Hoteles y restaurantes (033)",163,87,20,41,4,11,
"Trans., almac. y comunicaciones (034)",308,109,91,88,11,9,
"Intermediación financiera (035)",5,5,,,,,
"Activid.inmobil., empres. y alquileres (036)",497,391,83,20,3,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",538,290,248,,,,
"Enseñanza (038)",749,720,5,19,,5,
"Servicios sociales y de salud (039)",93,77,5,8,2,1,
"Otras activ. serv.comun.soc y personales (040)",329,99,170,53,1,6,
"Hogares privados con servicio doméstico (041)",17,,,,,,17
"Actividad economica no especificada (043)",256,34,98,71,5,48,
"Mujeres (044)",2839,1054,308,845,20,406,206
"Agric., ganadería, caza y silvicultura (045)",446,1,107,167,,171,
"Explotación de minas y canteras (047)",37,26,11,,,,
"Industrias manufactureras (048)",39,4,6,29,,,
"Suministro de electricidad, gas y agua (049)",2,,2,,,,
"Construcción (050)",71,20,50,1,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",423,32,1,308,5,77,
"Venta, mant.y rep. veh.autom.y motoc. (052)",4,2,,2,,,
"Comercio al por mayor (053)",19,3,1,11,1,3,
"Comercio al por menor (054)",400,27,,295,4,74,
"Hoteles y restaurantes (055)",263,75,25,136,7,20,
"Trans., almac. y comunicaciones (056)",28,17,3,5,1,2,
"Intermediación financiera (057)",2,2,,,,,
"Activid.inmobil., empres. y alquileres (058)",59,51,1,4,,3,
"Admin.pub. y defensa; p. segur.soc.afil (059)",119,93,26,,,,
"Enseñanza (060)",510,489,,21,,,
"Servicios sociales y de salud (061)",141,134,1,2,1,3,
"Otras activ. serv.comun.soc y personales (062)",114,62,12,34,1,5,
"Hogares privados con servicio doméstico (063)",206,,,,,,206
"Actividad economica no especificada (065)",379,48,63,138,5,125,
,,,,,,,
"URBANA (066)",6208,2064,1419,2082,66,426,151
"Agric., ganadería, caza y silvicultura (067)",1664,16,455,973,17,203,
"Pesca (068)",1,,,1,,,
"Explotación de minas y canteras (069)",40,5,32,2,1,,
"Industrias manufactureras (070)",173,5,47,113,6,2,
"Suministro de electricidad, gas y agua (071)",16,1,15,,,,
"Construcción (072)",650,46,531,63,7,3,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",688,68,16,486,7,111,
"Venta, mant.y rep. veh.autom.y motoc. (074)",47,8,10,26,1,2,
"Comercio al por mayor (075)",35,5,4,22,2,2,
"Comercio al por menor (076)",606,55,2,438,4,107,
"Hoteles y restaurantes (077)",268,76,20,145,6,21,
"Trans., almac. y comunicaciones (078)",182,57,37,70,9,9,
"Intermediación financiera (079)",5,5,,,,,
"Activid.inmobil., empres. y alquileres (080)",175,129,19,21,3,3,
"Admin.pub. y defensa; p. segur.soc.afil (081)",394,317,77,,,,
"Enseñanza (082)",1040,1008,2,25,,5,
"Servicios sociales y de salud (083)",185,167,2,9,3,4,
"Otras activ. serv.comun.soc y personales (084)",253,108,82,54,2,7,
"Hogares privados con servicio doméstico (085)",151,,,,,,151
"Actividad economica no especificada (087)",323,56,84,120,5,58,
"Hombres (088)",4405,1254,1288,1541,58,251,13
"Agric., ganadería, caza y silvicultura (089)",1549,15,416,933,17,168,
"Pesca (090)",1,,,1,,,
"Explotación de minas y canteras (091)",37,3,31,2,1,,
"Industrias manufactureras (092)",147,4,42,93,6,2,
"Suministro de electricidad, gas y agua (093)",16,1,15,,,,
"Construcción (094)",622,34,516,62,7,3,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",349,45,15,246,5,38,
"Venta, mant.y rep. veh.autom.y motoc. (096)",46,8,10,25,1,2,
"Comercio al por mayor (097)",18,2,3,11,2,,
"Comercio al por menor (098)",285,35,2,210,2,36,
"Hoteles y restaurantes (099)",84,33,7,32,3,9,
"Trans., almac. y comunicaciones (100)",163,42,37,68,9,7,
"Intermediación financiera (101)",4,4,,,,,
"Activid.inmobil., empres. y alquileres (102)",138,98,19,18,3,,
"Admin.pub. y defensa; p. segur.soc.afil (103)",302,238,64,,,,
"Enseñanza (104)",617,597,2,13,,5,
"Servicios sociales y de salud (105)",71,59,2,7,2,1,
"Otras activ. serv.comun.soc y personales (106)",166,59,72,30,1,4,
"Hogares privados con servicio doméstico (107)",13,,,,,,13
"Actividad economica no especificada (109)",126,22,50,36,4,14,
"Mujeres (110)",1803,810,131,541,8,175,138
"Agric., ganadería, caza y silvicultura (111)",115,1,39,40,,35,
"Explotación de minas y canteras (113)",3,2,1,,,,
"Industrias manufactureras (114)",26,1,5,20,,,
"Construcción (116)",28,12,15,1,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",339,23,1,240,2,73,
"Venta, mant.y rep. veh.autom.y motoc. (118)",1,,,1,,,
"Comercio al por mayor (119)",17,3,1,11,,2,
"Comercio al por menor (120)",321,20,,228,2,71,
"Hoteles y restaurantes (121)",184,43,13,113,3,12,
"Trans., almac. y comunicaciones (122)",19,15,,2,,2,
