"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia HUANCA SANCOS (000)",4027,3968,1023,454,529,405,679,435,443,59
"Católica (001)",3548,3496,941,412,461,352,593,378,359,52
"Cristiana/Evangélica (002)",447,441,69,35,66,50,83,56,82,6
"Otra (003)",12,12,4,4,2,,,1,1,
"Ninguna (004)",20,19,9,3,,3,3,,1,1
,,,,,,,,,,
"URBANA (006)",2715,2677,672,302,398,284,463,296,262,38
"Católica (007)",2377,2343,609,280,348,248,399,253,206,34
"Cristiana/Evangélica (008)",313,310,51,17,48,34,63,42,55,3
"Otra (009)",11,11,4,3,2,,,1,1,
"Ninguna (010)",14,13,8,2,,2,1,,,1
,,,,,,,,,,
"RURAL (012)",1312,1291,351,152,131,121,216,139,181,21
"Católica (013)",1171,1153,332,132,113,104,194,125,153,18
"Cristiana/Evangélica (014)",134,131,18,18,18,16,20,14,27,3
"Otra (015)",1,1,,1,,,,,,
"Ninguna (016)",6,6,1,1,,1,2,,1,
