"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia COTABAMBAS (000)",7522,4915,1267,469,871
"Agric., ganadería, caza y silvicultura (001)",3732,3015,663,48,6
"Explotación de minas y canteras (003)",406,35,43,43,285
"Industrias manufactureras (004)",209,182,17,5,5
"Suministro de electricidad, gas y agua (005)",16,1,1,12,2
"Construcción (006)",592,357,148,72,15
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",407,378,17,8,4
"Venta, mant.y rep. veh.autom y motoc. (008)",22,17,2,,3
"Comercio al por mayor (009)",10,8,1,,1
"Comercio al por menor (010)",375,353,14,8,
"Hoteles y restaurantes (011)",188,145,18,11,14
"Trans., almac. y comunicaciones (012)",106,58,12,14,22
"Intermediación financiera (013)",3,2,,,1
"Activid.inmobil., empres. y alquileres (014)",99,22,16,7,54
"Admin.pub. y defensa; p. segur soc.afil (015)",256,,,,256
"Enseñanza (016)",783,246,257,200,80
"Servicios sociales y de salud (017)",141,24,11,5,101
"Otras activ. serv.comun.soc y personales (018)",76,33,9,23,11
"Hogares privados con servicio doméstico (019)",155,155,,,
"Actividad economica no especificada (021)",353,262,55,21,15
"Hombres (022)",5534,3550,941,343,700
"Agric., ganadería, caza y silvicultura (023)",3035,2469,516,44,6
"Explotación de minas y canteras (025)",366,32,36,31,267
"Industrias manufactureras (026)",143,122,13,4,4
"Suministro de electricidad, gas y agua (027)",14,1,,11,2
"Construcción (028)",573,351,145,62,15
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",164,151,6,3,4
"Venta, mant.y rep. veh.autom y motoc. (030)",19,14,2,,3
"Comercio al por mayor (031)",4,3,,,1
"Comercio al por menor (032)",141,134,4,3,
"Hoteles y restaurantes (033)",52,24,5,9,14
"Trans., almac. y comunicaciones (034)",99,52,12,14,21
"Intermediación financiera (035)",2,1,,,1
"Activid.inmobil., empres. y alquileres (036)",78,17,11,7,43
"Admin.pub. y defensa; p. segur soc.afil (037)",212,,,,212
"Enseñanza (038)",463,139,150,122,52
"Servicios sociales y de salud (039)",51,6,3,3,39
"Otras activ. serv.comun.soc y personales (040)",56,20,6,20,10
"Hogares privados con servicio doméstico (041)",19,19,,,
"Actividad economica no especificada (043)",207,146,38,13,10
"Mujeres (044)",1988,1365,326,126,171
