"CUADRO Nº 8: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA",,,,,,
,,TIERRA,CEMENTO,"LOSETAS, TERRAZOS, CERÁMICOS O SIMILARES","PARQUET O MADERA PULIDA","MADERA (PONA, TOR-NILLO, ETC.)","LÁMINAS ASFÁL-TICAS, VINÍLICOS O SIMILARES","OTRO MATERIAL"
,,,,,,,,
"Provincia HUANCABAMBA",,,,,,,,
"Viviendas particulares (001)",28586,25613,2535,54,47,214,15,108
"Ocupantes presentes (002)",123735,111983,10069,190,205,849,57,382
"Casa independiente",,,,,,,,
"Viviendas particulares (004)",28025,25124,2482,54,44,200,15,106
"Ocupantes presentes (005)",121579,110102,9863,190,193,797,57,377
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (010)",32,,23,,3,6,,
"Ocupantes presentes (011)",121,,84,,12,25,,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (013)",51,18,25,,,6,,2
"Ocupantes presentes (014)",194,64,108,,,17,,5
"Choza o cabaña",,,,,,,,
"Viviendas particulares (016)",457,456,,,,1,,
"Ocupantes presentes (017)",1779,1775,,,,4,,
"Vivienda improvisada",,,,,,,,
"Viviendas particulares (019)",10,6,3,,,1,,
"Ocupantes presentes (020)",32,16,10,,,6,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (022)",9,7,2,,,,,
"Ocupantes presentes (023)",19,15,4,,,,,
"Otro tipo",,,,,,,,
"Viviendas particulares (025)",2,2,,,,,,
"Ocupantes presentes (026)",11,11,,,,,,
,,,,,,,,
URBANA,,,,,,,,
"Viviendas particulares (028)",3864,1793,1723,38,28,174,4,104
"Ocupantes presentes (029)",15078,6942,6834,141,112,670,10,369
"Casa independiente",,,,,,,,
"Viviendas particulares (031)",3768,1768,1670,38,25,161,4,102
"Ocupantes presentes (032)",14722,6857,6628,141,100,622,10,364
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (037)",32,,23,,3,6,,
"Ocupantes presentes (038)",121,,84,,12,25,,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (040)",51,18,25,,,6,,2
"Ocupantes presentes (041)",194,64,108,,,17,,5
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Viviendas particulares (046)",10,6,3,,,1,,
"Ocupantes presentes (047)",32,16,10,,,6,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (049)",2,,2,,,,,
"Ocupantes presentes (050)",4,,4,,,,,
"Otro tipo",,,,,,,,
"Viviendas particulares (052)",1,1,,,,,,
"Ocupantes presentes (053)",5,5,,,,,,
,,,,,,,,
RURAL,,,,,,,,
"Viviendas particulares (055)",24722,23820,812,16,19,40,11,4
"Ocupantes presentes (056)",108657,105041,3235,49,93,179,47,13
"Casa independiente",,,,,,,,
"Viviendas particulares (058)",24257,23356,812,16,19,39,11,4
"Ocupantes presentes (059)",106857,103245,3235,49,93,175,47,13
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Viviendas particulares (070)",457,456,,,,1,,
"Ocupantes presentes (071)",1779,1775,,,,4,,
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (076)",7,7,,,,,,
"Ocupantes presentes (077)",15,15,,,,,,
"Otro tipo",,,,,,,,
"Viviendas particulares (079)",1,1,,,,,,
"Ocupantes presentes (080)",6,6,,,,,,
