"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia JUNIN (000)",9244,957,4,2807,2865,431,790,294,1096
"Empleado (001)",1671,32,,81,310,123,356,87,682
"Obrero (002)",1372,140,3,438,550,56,60,40,85
"Trabajador independiente (003)",4938,635,,1854,1538,212,299,137,263
"Empleador o patrono (004)",312,48,,99,104,10,12,11,28
"Trabajador familiar no remunerado (005)",865,92,1,307,331,26,55,18,35
"Trabajador del hogar (006)",86,10,,28,32,4,8,1,3
"Hombres (008)",6221,424,2,1974,2190,300,424,220,687
"Empleado (009)",955,11,,50,214,74,172,60,374
"Obrero (010)",1157,81,2,348,507,51,50,38,80
"Trabajador independiente (011)",3459,289,,1372,1163,154,179,104,198
"Empleador o patrono (012)",204,24,,64,80,8,3,8,17
"Trabajador familiar no remunerado (013)",445,19,,140,226,13,19,10,18
"Trabajador del hogar (014)",1,,,,,,1,,
"Mujeres (016)",3023,533,2,833,675,131,366,74,409
"Empleado (017)",716,21,,31,96,49,184,27,308
"Obrero (018)",215,59,1,90,43,5,10,2,5
"Trabajador independiente (019)",1479,346,,482,375,58,120,33,65
"Empleador o patrono (020)",108,24,,35,24,2,9,3,11
"Trabajador familiar no remunerado (021)",420,73,1,167,105,13,36,8,17
"Trabajador del hogar (022)",85,10,,28,32,4,7,1,3
,,,,,,,,,
"URBANA (024)",5942,412,4,1329,1957,356,696,258,930
"Empleado (025)",1529,31,,70,280,117,334,83,614
"Obrero (026)",881,64,3,244,378,44,44,32,72
"Trabajador independiente (027)",2936,271,,854,1071,167,259,122,192
"Empleador o patrono (028)",148,5,,36,55,8,11,8,25
"Trabajador familiar no remunerado (029)",369,31,1,101,144,16,40,12,24
"Trabajador del hogar (030)",79,10,,24,29,4,8,1,3
"Hombres (032)",3701,125,2,788,1420,241,367,196,562
"Empleado (033)",867,10,,45,192,68,162,56,334
"Obrero (034)",753,34,2,192,348,40,39,31,67
"Trabajador independiente (035)",1835,74,,502,759,119,150,95,136
"Empleador o patrono (036)",95,1,,25,38,7,3,7,14
"Trabajador familiar no remunerado (037)",150,6,,24,83,7,12,7,11
"Trabajador del hogar (038)",1,,,,,,1,,
"Mujeres (040)",2241,287,2,541,537,115,329,62,368
"Empleado (041)",662,21,,25,88,49,172,27,280
"Obrero (042)",128,30,1,52,30,4,5,1,5
"Trabajador independiente (043)",1101,197,,352,312,48,109,27,56
"Empleador o patrono (044)",53,4,,11,17,1,8,1,11
"Trabajador familiar no remunerado (045)",219,25,1,77,61,9,28,5,13
"Trabajador del hogar (046)",78,10,,24,29,4,7,1,3
,,,,,,,,,
"RURAL (048)",3302,545,,1478,908,75,94,36,166
"Empleado (049)",142,1,,11,30,6,22,4,68
"Obrero (050)",491,76,,194,172,12,16,8,13
"Trabajador independiente (051)",2002,364,,1000,467,45,40,15,71
"Empleador o patrono (052)",164,43,,63,49,2,1,3,3
"Trabajador familiar no remunerado (053)",496,61,,206,187,10,15,6,11
"Trabajador del hogar (054)",7,,,4,3,,,,
"Hombres (056)",2520,299,,1186,770,59,57,24,125
"Empleado (057)",88,1,,5,22,6,10,4,40
"Obrero (058)",404,47,,156,159,11,11,7,13
"Trabajador independiente (059)",1624,215,,870,404,35,29,9,62
"Empleador o patrono (060)",109,23,,39,42,1,,1,3
"Trabajador familiar no remunerado (061)",295,13,,116,143,6,7,3,7
"Mujeres (064)",782,246,,292,138,16,37,12,41
"Empleado (065)",54,,,6,8,,12,,28
"Obrero (066)",87,29,,38,13,1,5,1,
"Trabajador independiente (067)",378,149,,130,63,10,11,6,9
"Empleador o patrono (068)",55,20,,24,7,1,1,2,
"Trabajador familiar no remunerado (069)",201,48,,90,44,4,8,3,4
"Trabajador del hogar (070)",7,,,4,3,,,,
