"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia EL COLLAO (000)",77567,3205,16943,15039,11540,9744,7600,5949,7547
"Quechua (001)",503,4,37,97,93,95,71,63,43
"Aymara (002)",59347,1668,10191,10193,9166,8342,6934,5575,7278
"Ashaninca (003)",116,4,26,23,17,15,10,10,11
"Otra lengua nativa (004)",17,1,6,7,,,,1,2
"Castellano (005)",17505,1512,6669,4703,2251,1288,574,299,209
"Idioma extranjero (006)",1,,,,,1,,,
"Es sordomudo/a (007)",78,16,14,16,13,3,11,1,4
"Hombres (009)",39387,1660,8746,7879,5695,4881,3793,2990,3743
"Quechua (010)",249,2,12,58,36,46,38,35,22
"Aymara (011)",29649,850,5253,5260,4424,4104,3405,2764,3589
"Ashaninca (012)",58,2,14,12,7,6,6,4,7
"Otra lengua nativa (013)",10,1,2,5,,,,1,1
"Castellano (014)",9373,794,3457,2533,1223,721,339,185,121
"Idioma extranjero (015)",1,,,,,1,,,
"Es sordomudo/a (016)",47,11,8,11,5,3,5,1,3
"Mujeres (018)",38180,1545,8197,7160,5845,4863,3807,2959,3804
"Quechua (019)",254,2,25,39,57,49,33,28,21
"Aymara (020)",29698,818,4938,4933,4742,4238,3529,2811,3689
"Ashaninca (021)",58,2,12,11,10,9,4,6,4
"Otra lengua nativa (022)",7,,4,2,,,,,1
"Castellano (023)",8132,718,3212,2170,1028,567,235,114,88
"Es sordomudo/a (025)",31,5,6,5,8,,6,,1
,,,,,,,,,
"URBANA (027)",24305,934,5341,5505,4155,3644,2269,1324,1133
"Quechua (028)",337,,14,59,66,75,49,47,27
"Aymara (029)",12143,119,1177,2155,2394,2541,1760,1046,951
"Ashaninca (030)",32,2,4,7,7,4,3,3,2
"Otra lengua nativa (031)",6,,2,3,,,,1,
"Castellano (032)",11772,811,4142,3276,1685,1024,455,227,152
"Es sordomudo/a (034)",15,2,2,5,3,,2,,1
"Hombres (036)",12506,477,2761,2870,2004,1843,1245,718,588
"Quechua (037)",156,,4,30,26,33,24,26,13
"Aymara (038)",6179,64,615,1140,1108,1259,953,553,487
"Ashaninca (039)",12,,2,2,3,2,2,1,
"Otra lengua nativa (040)",4,,1,2,,,,1,
"Castellano (041)",6147,412,2137,1694,866,549,265,137,87
"Es sordomudo/a (043)",8,1,2,2,1,,1,,1
"Mujeres (045)",11799,457,2580,2635,2151,1801,1024,606,545
"Quechua (046)",181,,10,29,40,42,25,21,14
"Aymara (047)",5964,55,562,1015,1286,1282,807,493,464
"Ashaninca (048)",20,2,2,5,4,2,1,2,2
"Otra lengua nativa (049)",2,,1,1,,,,,
"Castellano (050)",5625,399,2005,1582,819,475,190,90,65
"Es sordomudo/a (052)",7,1,,3,2,,1,,
,,,,,,,,,
"RURAL (054)",53262,2271,11602,9534,7385,6100,5331,4625,6414
"Quechua (055)",166,4,23,38,27,20,22,16,16
"Aymara (056)",47204,1549,9014,8038,6772,5801,5174,4529,6327
"Ashaninca (057)",84,2,22,16,10,11,7,7,9
"Otra lengua nativa (058)",11,1,4,4,,,,,2
"Castellano (059)",5733,701,2527,1427,566,264,119,72,57
"Idioma extranjero (060)",1,,,,,1,,,
"Es sordomudo/a (061)",63,14,12,11,10,3,9,1,3
"Hombres (063)",26881,1183,5985,5009,3691,3038,2548,2272,3155
"Quechua (064)",93,2,8,28,10,13,14,9,9
"Aymara (065)",23470,786,4638,4120,3316,2845,2452,2211,3102
"Ashaninca (066)",46,2,12,10,4,4,4,3,7
"Otra lengua nativa (067)",6,1,1,3,,,,,1
"Castellano (068)",3226,382,1320,839,357,172,74,48,34
"Idioma extranjero (069)",1,,,,,1,,,
"Es sordomudo/a (070)",39,10,6,9,4,3,4,1,2
"Mujeres (072)",26381,1088,5617,4525,3694,3062,2783,2353,3259
"Quechua (073)",73,2,15,10,17,7,8,7,7
"Aymara (074)",23734,763,4376,3918,3456,2956,2722,2318,3225
"Ashaninca (075)",38,,10,6,6,7,3,4,2
"Otra lengua nativa (076)",5,,3,1,,,,,1
"Castellano (077)",2507,319,1207,588,209,92,45,24,23
"Es sordomudo/a (079)",24,4,6,2,6,,5,,1
