"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia LAMAS (000)",79075,1767,26279,21390,15050,10595,3994
"Hombres (001)",41489,859,13429,11490,8101,5656,1954
"Mujeres (002)",37586,908,12850,9900,6949,4939,2040
"Viviendas particulares (003)",78826,1762,26251,21261,14988,10575,3989
"Hombres (004)",41293,858,13412,11385,8047,5639,1952
"Mujeres (005)",37533,904,12839,9876,6941,4936,2037
"Viviendas colectivas (006)",196,5,22,98,49,18,4
"Hombres (007)",149,1,13,75,43,16,1
"Mujeres (008)",47,4,9,23,6,2,3
"Otro tipo (009)",53,,6,31,13,2,1
"Hombres (010)",47,,4,30,11,1,1
"Mujeres (011)",6,,2,1,2,1,
,,,,,,,
"URBANA (012)",37822,710,11274,9917,7674,5770,2477
"Hombres (013)",19357,339,5688,5197,3952,3010,1171
"Mujeres (014)",18465,371,5586,4720,3722,2760,1306
"Viviendas particulares (015)",37573,705,11246,9788,7612,5750,2472
"Hombres (016)",19161,338,5671,5092,3898,2993,1169
"Mujeres (017)",18412,367,5575,4696,3714,2757,1303
"Viviendas colectivas (018)",196,5,22,98,49,18,4
"Hombres (019)",149,1,13,75,43,16,1
"Mujeres (020)",47,4,9,23,6,2,3
"Otro tipo (021)",53,,6,31,13,2,1
"Hombres (022)",47,,4,30,11,1,1
"Mujeres (023)",6,,2,1,2,1,
,,,,,,,
"RURAL (024)",41253,1057,15005,11473,7376,4825,1517
"Hombres (025)",22132,520,7741,6293,4149,2646,783
"Mujeres (026)",19121,537,7264,5180,3227,2179,734
"Viviendas particulares (027)",41253,1057,15005,11473,7376,4825,1517
"Hombres (028)",22132,520,7741,6293,4149,2646,783
"Mujeres (029)",19121,537,7264,5180,3227,2179,734
