"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia SAN IGNACIO (000)",28848,76,324,926,2498,5572,13787,5665
"De 12 a 14 años (001)",82,,,,,,12,70
"De 15 a 19 años (002)",1391,,,,,,872,519
"De 20 a 24 años (003)",3819,,,,,11,2624,1184
"De 25 a 29 años (004)",4471,,,,,212,3252,1007
"De 30 a 34 años (005)",3680,,,,,493,2587,600
"De 35 a 39 años (006)",3470,,,,14,852,2181,423
"De 40 a 44 años (007)",2844,,,,103,1020,1426,295
"De 45 a 49 años (008)",2409,,,7,230,1172,722,278
"De 50 y más años (009)",6682,76,324,919,2151,1812,111,1289
"PEA (010)",7061,2,34,167,592,1504,3075,1687
"De 12 a 14 años (011)",8,,,,,,2,6
"De 15 a 19 años (012)",246,,,,,,162,84
"De 20 a 24 años (013)",840,,,,,3,514,323
"De 25 a 29 años (014)",1121,,,,,44,710,367
"De 30 a 34 años (015)",951,,,,,149,576,226
"De 35 a 39 años (016)",991,,,,8,247,560,176
"De 40 a 44 años (017)",824,,,,37,319,347,121
"De 45 a 49 años (018)",680,,,2,73,336,178,91
"De 50 y más años (019)",1400,2,34,165,474,406,26,293
"Ocupada (020)",6967,2,33,166,588,1493,3037,1648
"De 12 a 14 años (021)",8,,,,,,2,6
"De 15 a 19 años (022)",239,,,,,,157,82
"De 20 a 24 años (023)",816,,,,,3,506,307
"De 25 a 29 años (024)",1102,,,,,43,700,359
"De 30 a 34 años (025)",942,,,,,148,572,222
"De 35 a 39 años (026)",980,,,,8,246,552,174
"De 40 a 44 años (027)",818,,,,37,316,344,121
"De 45 a 49 años (028)",675,,,2,73,333,178,89
"De 50 y más años (029)",1387,2,33,164,470,404,26,288
"Desocupada (030)",94,,1,1,4,11,38,39
"De 15 a 19 años (032)",7,,,,,,5,2
"De 20 a 24 años (033)",24,,,,,,8,16
"De 25 a 29 años (034)",19,,,,,1,10,8
"De 30 a 34 años (035)",9,,,,,1,4,4
"De 35 a 39 años (036)",11,,,,,1,8,2
"De 40 a 44 años (037)",6,,,,,3,3,
"De 45 a 49 años (038)",5,,,,,3,,2
"De 50 y más años (039)",13,,1,1,4,2,,5
"No PEA (040)",21787,74,290,759,1906,4068,10712,3978
"De 12 a 14 años (041)",74,,,,,,10,64
"De 15 a 19 años (042)",1145,,,,,,710,435
"De 20 a 24 años (043)",2979,,,,,8,2110,861
"De 25 a 29 años (044)",3350,,,,,168,2542,640
"De 30 a 34 años (045)",2729,,,,,344,2011,374
"De 35 a 39 años (046)",2479,,,,6,605,1621,247
"De 40 a 44 años (047)",2020,,,,66,701,1079,174
