"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CANTA (000)",13513,230,3605,3310,2563,2222,1583
"Hombres (001)",7081,108,1814,1790,1356,1217,796
"Mujeres (002)",6432,122,1791,1520,1207,1005,787
"Viviendas particulares (003)",13324,230,3584,3262,2497,2191,1560
"Hombres (004)",6972,108,1804,1761,1312,1199,788
"Mujeres (005)",6352,122,1780,1501,1185,992,772
"Viviendas colectivas (006)",158,,17,43,56,24,18
"Hombres (007)",91,,9,24,39,12,7
"Mujeres (008)",67,,8,19,17,12,11
"Otro tipo (009)",31,,4,5,10,7,5
"Hombres (010)",18,,1,5,5,6,1
"Mujeres (011)",13,,3,,5,1,4
,,,,,,,
"URBANA (012)",6454,90,1642,1373,1167,1202,980
"Hombres (013)",3326,46,837,745,590,623,485
"Mujeres (014)",3128,44,805,628,577,579,495
"Viviendas particulares (015)",6342,90,1633,1346,1125,1176,972
"Hombres (016)",3261,46,834,730,561,607,483
"Mujeres (017)",3081,44,799,616,564,569,489
"Viviendas colectivas (018)",81,,5,22,32,19,3
"Hombres (019)",47,,2,10,24,10,1
"Mujeres (020)",34,,3,12,8,9,2
"Otro tipo (021)",31,,4,5,10,7,5
"Hombres (022)",18,,1,5,5,6,1
"Mujeres (023)",13,,3,,5,1,4
,,,,,,,
"RURAL (024)",7059,140,1963,1937,1396,1020,603
"Hombres (025)",3755,62,977,1045,766,594,311
"Mujeres (026)",3304,78,986,892,630,426,292
"Viviendas particulares (027)",6982,140,1951,1916,1372,1015,588
"Hombres (028)",3711,62,970,1031,751,592,305
"Mujeres (029)",3271,78,981,885,621,423,283
"Viviendas colectivas (030)",77,,12,21,24,5,15
"Hombres (031)",44,,7,14,15,2,6
"Mujeres (032)",33,,5,7,9,3,9
