"CUADRO Nº 1: VIVIENDAS PARTICULARES, POR CONDICIÓN DE OCUPACIÓN DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",TOTAL,"CONDICIÓN DE OCUPACIÓN",,,,,,,,
,,OCUPADA,,,,DESOCUPADA,,,,
,,TOTAL,"CON PERSONAS PRESENTES","CON PERSONAS AUSENTES","DE USO OCASIONAL",TOTAL,"EN ALQUILER O VENTA","EN CONSTRUCCIÓN O REPARACIÓN","ABANDONADA CERRADA","OTRA CAUSA"
,,,,,,,,,,
"Provincia CHICLAYO (000)",179902,171585,164816,5544,1225,8317,979,2143,4862,333
"Casa independiente (001)",166592,159111,153458,4588,1065,7481,686,2040,4459,296
"Departamento en edificio (002)",7843,7416,6787,547,82,427,215,81,117,14
"Vivienda en quinta (003)",1998,1916,1792,113,11,82,33,5,43,1
"Vivienda en casa de vecindad (004)",2379,2189,2006,169,14,190,45,17,111,17
"Choza o cabaña (005)",376,322,243,39,40,54,,,53,1
"Vivienda improvisada (006)",446,363,262,88,13,83,,,79,4
"Local no dest.para hab. humana (007)",243,243,243,,,,,,,
"Otro tipo (008)",25,25,25,,,,,,,
,,,,,,,,,,
"URBANA (009)",165841,159031,153529,4856,646,6810,832,1626,4071,281
"Casa independiente (010)",152949,146921,142456,3939,526,6028,539,1523,3721,245
"Departamento en edificio (011)",7843,7416,6787,547,82,427,215,81,117,14
"Vivienda en quinta (012)",1998,1916,1792,113,11,82,33,5,43,1
"Vivienda en casa de vecindad (013)",2379,2189,2006,169,14,190,45,17,111,17
"Vivienda improvisada (015)",446,363,262,88,13,83,,,79,4
"Local no dest.para hab. humana (016)",204,204,204,,,,,,,
"Otro tipo (017)",22,22,22,,,,,,,
,,,,,,,,,,
"RURAL (018)",14061,12554,11287,688,579,1507,147,517,791,52
"Casa independiente (019)",13643,12190,11002,649,539,1453,147,517,738,51
"Choza o cabaña (023)",376,322,243,39,40,54,,,53,1
"Local no dest.para hab. humana (025)",39,39,39,,,,,,,
"Otro tipo (026)",3,3,3,,,,,,,
