"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia LAMPA (000)",15813,150,5030,5269,4101,1263
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",41,,3,19,19,
"Profes., científicos e intelectuales (002)",847,,138,403,299,7
"Técnicos de nivel medio y trab.asimilados (003)",227,1,89,98,34,5
"Jefes y empleados de oficina (004)",250,,88,96,65,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",831,3,248,322,204,54
"Agricult.trabaj. calif. agrop. y pesqueros (006)",4590,9,815,1394,1657,715
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",1808,6,720,675,341,66
"Obreros construc., conf., papel, fab., instr. (008)",950,4,278,435,219,14
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",3770,98,1447,1067,868,290
"Otra (010)",50,,19,24,7,
"Ocupación no especificada (011)",421,4,153,116,104,44
"Desocupado (012)",2028,25,1032,620,284,67
"Hombres (013)",10348,78,3242,3584,2649,795
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",35,,3,15,17,
"Profes., científicos e intelectuales (015)",597,,82,266,243,6
"Técnicos de nivel medio y trab.asimilados (016)",188,,71,82,31,4
"Jefes y empleados de oficina (017)",160,,36,75,48,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",266,,68,106,69,23
"Agricult.trabaj. calif. agrop. y pesqueros (019)",3272,5,542,1014,1192,519
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",1178,3,502,453,188,32
"Obreros construc., conf., papel, fab., instr. (021)",907,3,267,418,207,12
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",1898,50,819,565,349,115
"Otra (023)",49,,18,24,7,
"Ocupación no especificada (024)",215,1,86,56,49,23
"Desocupado (025)",1583,16,748,510,249,60
"Mujeres (026)",5465,72,1788,1685,1452,468
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",6,,,4,2,
"Profes., científicos e intelectuales (028)",250,,56,137,56,1
"Técnicos de nivel medio y trab.asimilados (029)",39,1,18,16,3,1
"Jefes y empleados de oficina (030)",90,,52,21,17,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",565,3,180,216,135,31
"Agricult.trabaj. calif. agrop. y pesqueros (032)",1318,4,273,380,465,196
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",630,3,218,222,153,34
"Obreros construc., conf., papel, fab., instr. (034)",43,1,11,17,12,2
