"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CONTRALMIRANTE VILLAR (000)",14722,3018,4596,3485,2582,1041
"Sin nivel (001)",420,36,39,62,96,187
"Educación inicial (002)",169,151,11,7,,
"Primaria (003)",6430,2134,880,1288,1388,740
"Secundaria (004)",5454,697,2673,1360,653,71
"Superior no univ. incompleta (005)",597,,376,140,75,6
"Superior no univ. completa (006)",814,,298,353,151,12
"Superior univ. incompleta (007)",339,,191,87,57,4
"Superior univ. completa (008)",499,,128,188,162,21
"PEA (010)",6452,87,2206,2276,1586,297
"Sin nivel (011)",127,,17,29,35,46
"Educación inicial (012)",10,,6,4,,
"Primaria (013)",2235,58,438,739,781,219
"Secundaria (014)",2621,29,1219,912,442,19
"Superior no univ. incompleta (015)",313,,155,94,60,4
"Superior no univ. completa (016)",590,,202,281,103,4
"Superior univ. incompleta (017)",196,,78,70,48,
"Superior univ. completa (018)",360,,91,147,117,5
"Ocupada (020)",6115,82,2059,2161,1525,288
"Sin nivel (021)",120,,16,25,33,46
"Educación inicial (022)",8,,5,3,,
"Primaria (023)",2126,56,416,700,744,210
"Secundaria (024)",2465,26,1136,858,426,19
"Superior no univ. incompleta (025)",300,,146,90,60,4
"Superior no univ. completa (026)",563,,185,272,102,4
"Superior univ. incompleta (027)",186,,71,69,46,
"Superior univ. completa (028)",347,,84,144,114,5
"Desocupada (030)",337,5,147,115,61,9
"Sin nivel (031)",7,,1,4,2,
"Educación inicial (032)",2,,1,1,,
