"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia HUAMALIES (000)",61670,10389,1726,32053,14418,859,1141,314,770
"Quechua (001)",32873,6595,786,18993,5742,258,298,60,141
"Aymara (002)",44,12,4,15,6,1,5,,1
"Ashaninca (003)",6,2,,2,,,,2,
"Otra lengua nativa (004)",6,2,1,3,,,,,
"Castellano (005)",28511,3573,934,13027,8662,599,837,252,627
"Idioma extranjero (006)",4,,,,1,1,1,,1
"Es sordomudo/a (007)",226,205,1,13,7,,,,
"Hombres (009)",31249,3993,877,16240,8410,446,614,196,473
"Quechua (010)",16194,2160,405,9588,3542,142,200,43,114
"Aymara (011)",22,6,2,6,3,1,3,,1
"Ashaninca (012)",3,1,,,,,,2,
"Otra lengua nativa (013)",1,,,1,,,,,
"Castellano (014)",14898,1710,470,6637,4860,302,411,151,357
"Idioma extranjero (015)",2,,,,,1,,,1
"Es sordomudo/a (016)",129,116,,8,5,,,,
"Mujeres (018)",30421,6396,849,15813,6008,413,527,118,297
"Quechua (019)",16679,4435,381,9405,2200,116,98,17,27
"Aymara (020)",22,6,2,9,3,,2,,
"Ashaninca (021)",3,1,,2,,,,,
"Otra lengua nativa (022)",5,2,1,2,,,,,
"Castellano (023)",13613,1863,464,6390,3802,297,426,101,270
"Idioma extranjero (024)",2,,,,1,,1,,
"Es sordomudo/a (025)",97,89,1,5,2,,,,
,,,,,,,,,
"URBANA (027)",17444,2247,499,7757,4804,529,861,195,552
"Quechua (028)",7361,1203,164,3943,1603,129,195,35,89
"Aymara (029)",16,5,1,4,1,1,3,,1
"Ashaninca (030)",2,,,,,,,2,
"Otra lengua nativa (031)",3,,1,2,,,,,
"Castellano (032)",10008,996,333,3804,3196,398,662,158,461
"Idioma extranjero (033)",4,,,,1,1,1,,1
"Es sordomudo/a (034)",50,43,,4,3,,,,
"Hombres (036)",8583,817,241,3717,2618,269,457,123,341
"Quechua (037)",3527,312,76,1903,934,75,133,23,71
"Aymara (038)",8,2,1,1,,1,2,,1
"Ashaninca (039)",2,,,,,,,2,
"Otra lengua nativa (040)",1,,,1,,,,,
"Castellano (041)",5012,478,164,1808,1682,192,322,98,268
"Idioma extranjero (042)",2,,,,,1,,,1
"Es sordomudo/a (043)",31,25,,4,2,,,,
"Mujeres (045)",8861,1430,258,4040,2186,260,404,72,211
"Quechua (046)",3834,891,88,2040,669,54,62,12,18
"Aymara (047)",8,3,,3,1,,1,,
"Otra lengua nativa (049)",2,,1,1,,,,,
"Castellano (050)",4996,518,169,1996,1514,206,340,60,193
"Idioma extranjero (051)",2,,,,1,,1,,
"Es sordomudo/a (052)",19,18,,,1,,,,
,,,,,,,,,
"RURAL (054)",44226,8142,1227,24296,9614,330,280,119,218
"Quechua (055)",25512,5392,622,15050,4139,129,103,25,52
"Aymara (056)",28,7,3,11,5,,2,,
"Ashaninca (057)",4,2,,2,,,,,
"Otra lengua nativa (058)",3,2,,1,,,,,
"Castellano (059)",18503,2577,601,9223,5466,201,175,94,166
"Es sordomudo/a (061)",176,162,1,9,4,,,,
"Hombres (063)",22666,3176,636,12523,5792,177,157,73,132
"Quechua (064)",12667,1848,329,7685,2608,67,67,20,43
"Aymara (065)",14,4,1,5,3,,1,,
"Ashaninca (066)",1,1,,,,,,,
"Castellano (068)",9886,1232,306,4829,3178,110,89,53,89
"Es sordomudo/a (070)",98,91,,4,3,,,,
"Mujeres (072)",21560,4966,591,11773,3822,153,123,46,86
"Quechua (073)",12845,3544,293,7365,1531,62,36,5,9
"Aymara (074)",14,3,2,6,2,,1,,
"Ashaninca (075)",3,1,,2,,,,,
"Otra lengua nativa (076)",3,2,,1,,,,,
"Castellano (077)",8617,1345,295,4394,2288,91,86,41,77
"Es sordomudo/a (079)",78,71,1,5,1,,,,
