"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia LAURICOCHA (000)",34003,758,13518,7874,5508,4282,2063
"Jefe o Jefa (001)",7914,,20,1221,2702,2582,1389
"Esposa(o) / compañera(o) (002)",4721,,6,1127,1849,1387,352
"Hijo(a) / hijastro(a) (003)",17043,554,11179,4537,648,121,4
"Yerno / nuera (004)",235,,6,160,59,9,1
"Nieto(a) (005)",2003,146,1584,257,16,,
"Padres / suegros (006)",285,,,1,2,49,233
"Otro(a) pariente (007)",1543,53,665,477,166,106,76
"Trabajador(a) del hogar (008)",39,,2,17,13,7,
"Pensionistas (009)",3,,,,3,,
"Otro(a) no pariente (010)",217,5,56,77,50,21,8
"Hombres (011)",17053,378,7022,3925,2652,2090,986
"Jefe o Jefa (012)",5695,,10,875,2078,1880,852
"Esposa(o) / compañera(o) (013)",193,,3,59,53,52,26
"Hijo(a) / hijastro(a) (014)",8955,273,5779,2486,348,68,1
"Yerno / nuera (015)",89,,2,53,29,4,1
"Nieto(a) (016)",1036,73,820,136,7,,
"Padres / suegros (017)",88,,,,,14,74
"Otro(a) pariente (018)",850,31,375,266,92,56,30
"Trabajador(a) del hogar (019)",14,,1,4,5,4,
"Pensionistas (020)",3,,,,3,,
"Otro(a) no pariente (021)",130,1,32,46,37,12,2
"Mujeres (022)",16950,380,6496,3949,2856,2192,1077
"Jefe o Jefa (023)",2219,,10,346,624,702,537
"Esposa(o) / compañera(o) (024)",4528,,3,1068,1796,1335,326
"Hijo(a) / hijastro(a) (025)",8088,281,5400,2051,300,53,3
"Yerno / nuera (026)",146,,4,107,30,5,
"Nieto(a) (027)",967,73,764,121,9,,
"Padres / suegros (028)",197,,,1,2,35,159
"Otro(a) pariente (029)",693,22,290,211,74,50,46
"Trabajador(a) del hogar (030)",25,,1,13,8,3,
"Otro(a) no pariente (032)",87,4,24,31,13,9,6
,,,,,,,
"URBANA (033)",7873,181,2815,1913,1346,1084,534
"Jefe o Jefa (034)",2057,,13,300,711,665,368
"Esposa(o) / compañera(o) (035)",1008,,2,224,382,324,76
"Hijo(a) / hijastro(a) (036)",3704,134,2286,1101,152,31,
"Yerno / nuera (037)",52,,1,43,6,2,
"Nieto(a) (038)",424,35,319,67,3,,
"Padres / suegros (039)",69,,,1,1,14,53
"Otro(a) pariente (040)",466,10,181,140,66,35,34
"Trabajador(a) del hogar (041)",18,,1,7,7,3,
"Pensionistas (042)",1,,,,1,,
"Otro(a) no pariente (043)",74,2,12,30,17,10,3
"Hombres (044)",3892,91,1453,956,650,500,242
"Jefe o Jefa (045)",1315,,9,187,477,438,204
"Esposa(o) / compañera(o) (046)",75,,1,21,25,15,13
"Hijo(a) / hijastro(a) (047)",1956,68,1176,605,88,19,
"Yerno / nuera (048)",16,,1,13,2,,
"Nieto(a) (049)",214,16,165,31,2,,
"Padres / suegros (050)",14,,,,,3,11
"Otro(a) pariente (051)",248,7,93,78,39,18,13
"Trabajador(a) del hogar (052)",7,,,2,3,2,
"Pensionistas (053)",1,,,,1,,
"Otro(a) no pariente (054)",46,,8,19,13,5,1
"Mujeres (055)",3981,90,1362,957,696,584,292
"Jefe o Jefa (056)",742,,4,113,234,227,164
"Esposa(o) / compañera(o) (057)",933,,1,203,357,309,63
"Hijo(a) / hijastro(a) (058)",1748,66,1110,496,64,12,
"Yerno / nuera (059)",36,,,30,4,2,
"Nieto(a) (060)",210,19,154,36,1,,
"Padres / suegros (061)",55,,,1,1,11,42
"Otro(a) pariente (062)",218,3,88,62,27,17,21
"Trabajador(a) del hogar (063)",11,,1,5,4,1,
"Otro(a) no pariente (065)",28,2,4,11,4,5,2
,,,,,,,
"RURAL (066)",26130,577,10703,5961,4162,3198,1529
"Jefe o Jefa (067)",5857,,7,921,1991,1917,1021
"Esposa(o) / compañera(o) (068)",3713,,4,903,1467,1063,276
"Hijo(a) / hijastro(a) (069)",13339,420,8893,3436,496,90,4
"Yerno / nuera (070)",183,,5,117,53,7,1
"Nieto(a) (071)",1579,111,1265,190,13,,
"Padres / suegros (072)",216,,,,1,35,180
"Otro(a) pariente (073)",1077,43,484,337,100,71,42
"Trabajador(a) del hogar (074)",21,,1,10,6,4,
"Pensionistas (075)",2,,,,2,,
"Otro(a) no pariente (076)",143,3,44,47,33,11,5
"Hombres (077)",13161,287,5569,2969,2002,1590,744
"Jefe o Jefa (078)",4380,,1,688,1601,1442,648
"Esposa(o) / compañera(o) (079)",118,,2,38,28,37,13
"Hijo(a) / hijastro(a) (080)",6999,205,4603,1881,260,49,1
"Yerno / nuera (081)",73,,1,40,27,4,1
"Nieto(a) (082)",822,57,655,105,5,,
"Padres / suegros (083)",74,,,,,11,63
"Otro(a) pariente (084)",602,24,282,188,53,38,17
"Trabajador(a) del hogar (085)",7,,1,2,2,2,
"Pensionistas (086)",2,,,,2,,
"Otro(a) no pariente (087)",84,1,24,27,24,7,1
"Mujeres (088)",12969,290,5134,2992,2160,1608,785
"Jefe o Jefa (089)",1477,,6,233,390,475,373
"Esposa(o) / compañera(o) (090)",3595,,2,865,1439,1026,263
"Hijo(a) / hijastro(a) (091)",6340,215,4290,1555,236,41,3
"Yerno / nuera (092)",110,,4,77,26,3,
"Nieto(a) (093)",757,54,610,85,8,,
"Padres / suegros (094)",142,,,,1,24,117
"Otro(a) pariente (095)",475,19,202,149,47,33,25
"Trabajador(a) del hogar (096)",14,,,8,4,2,
"Otro(a) no pariente (098)",59,2,20,20,9,4,4
