"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia OXAPAMPA (000)",19107,18459,66,4042,3953,2788,3715,2177,1181,537,648,66506
"De 12 a 14 años (001)",40,20,2,17,1,,,,,,20,19
"De 15 a 19 años (002)",999,909,12,742,135,16,4,,,,90,1076
"De 20 a 24 años (003)",2497,2326,7,1237,727,246,94,15,,,171,3917
"De 25 a 29 años (004)",2770,2595,6,814,928,454,332,51,10,,175,5858
"De 30 a 34 años (005)",2556,2493,5,443,739,548,537,179,32,10,63,7419
"De 35 a 39 años (006)",2522,2485,5,284,545,491,711,324,98,27,37,9145
"De 40 a 44 años (007)",1997,1973,1,155,338,367,585,342,140,45,24,8365
"De 45 a 49 años (008)",1620,1604,4,109,204,247,458,313,193,76,16,7729
"De 50 y más años (009)",4106,4054,24,241,336,419,994,953,708,379,52,22978
"PEA (010)",7132,6817,25,1587,1526,1055,1355,715,374,180,315,23468
"De 12 a 14 años (011)",8,3,1,2,,,,,,,5,2
"De 15 a 19 años (012)",245,222,5,176,36,2,3,,,,23,266
"De 20 a 24 años (013)",790,704,3,389,192,77,35,8,,,86,1204
"De 25 a 29 años (014)",1020,911,1,357,296,126,112,15,4,,109,1935
"De 30 a 34 años (015)",1035,996,3,253,304,173,171,74,15,3,39,2757
"De 35 a 39 años (016)",1129,1105,1,172,293,210,287,108,28,6,24,3643
"De 40 a 44 años (017)",932,924,,90,193,194,260,117,52,18,8,3575
"De 45 a 49 años (018)",711,703,3,63,115,127,175,116,65,39,8,3141
"De 50 y más años (019)",1262,1249,8,85,97,146,312,277,210,114,13,6945
"Ocupada (020)",7043,6736,24,1544,1505,1051,1347,711,374,180,307,23311
"De 12 a 14 años (021)",8,3,1,2,,,,,,,5,2
