"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia PADRE ABAD (000)",46652,2481,11598,10183,8127,7069,3882,1878,1434
"Quechua (001)",2961,13,177,377,554,794,520,282,244
"Aymara (002)",34,1,6,3,4,8,8,1,3
"Ashaninca (003)",60,2,15,14,10,13,2,2,2
"Otra lengua nativa (004)",1834,159,570,366,287,218,118,65,51
"Castellano (005)",41691,2302,10816,9400,7262,6028,3225,1525,1133
"Idioma extranjero (006)",14,,2,1,1,1,7,2,
"Es sordomudo/a (007)",58,4,12,22,9,7,2,1,1
"Hombres (009)",25938,1272,6025,5509,4523,4078,2456,1201,874
"Quechua (010)",1637,7,102,210,295,421,312,161,129
"Aymara (011)",21,1,2,2,3,5,6,,2
"Ashaninca (012)",35,,9,13,5,5,2,,1
"Otra lengua nativa (013)",962,88,306,184,137,120,59,34,34
"Castellano (014)",23236,1174,5598,5084,4078,3521,2069,1005,707
"Idioma extranjero (015)",11,,2,,1,1,6,1,
"Es sordomudo/a (016)",36,2,6,16,4,5,2,,1
"Mujeres (018)",20714,1209,5573,4674,3604,2991,1426,677,560
"Quechua (019)",1324,6,75,167,259,373,208,121,115
"Aymara (020)",13,,4,1,1,3,2,1,1
"Ashaninca (021)",25,2,6,1,5,8,,2,1
"Otra lengua nativa (022)",872,71,264,182,150,98,59,31,17
"Castellano (023)",18455,1128,5218,4316,3184,2507,1156,520,426
"Idioma extranjero (024)",3,,,1,,,1,1,
"Es sordomudo/a (025)",22,2,6,6,5,2,,1,
,,,,,,,,,
"URBANA (027)",24823,1147,5969,5692,4480,3943,2071,852,669
"Quechua (028)",1102,3,52,141,186,316,208,97,99
"Aymara (029)",12,1,2,2,1,2,3,,1
"Ashaninca (030)",21,1,9,3,3,3,1,1,
"Otra lengua nativa (031)",180,11,50,35,25,33,11,8,7
"Castellano (032)",23479,1131,5849,5503,4260,3588,1841,745,562
"Idioma extranjero (033)",13,,2,1,1,1,7,1,
"Es sordomudo/a (034)",16,,5,7,4,,,,
"Hombres (036)",13332,562,2999,2938,2424,2178,1301,549,381
"Quechua (037)",560,,30,70,82,159,120,56,43
"Aymara (038)",7,1,1,1,1,1,2,,
"Ashaninca (039)",12,,6,3,1,1,1,,
"Otra lengua nativa (040)",85,4,24,18,10,15,5,5,4
"Castellano (041)",12649,557,2934,2841,2327,2001,1167,488,334
"Idioma extranjero (042)",10,,2,,1,1,6,,
"Es sordomudo/a (043)",9,,2,5,2,,,,
"Mujeres (045)",11491,585,2970,2754,2056,1765,770,303,288
"Quechua (046)",542,3,22,71,104,157,88,41,56
"Aymara (047)",5,,1,1,,1,1,,1
"Ashaninca (048)",9,1,3,,2,2,,1,
"Otra lengua nativa (049)",95,7,26,17,15,18,6,3,3
"Castellano (050)",10830,574,2915,2662,1933,1587,674,257,228
"Idioma extranjero (051)",3,,,1,,,1,1,
"Es sordomudo/a (052)",7,,3,2,2,,,,
,,,,,,,,,
"RURAL (054)",21829,1334,5629,4491,3647,3126,1811,1026,765
"Quechua (055)",1859,10,125,236,368,478,312,185,145
"Aymara (056)",22,,4,1,3,6,5,1,2
"Ashaninca (057)",39,1,6,11,7,10,1,1,2
"Otra lengua nativa (058)",1654,148,520,331,262,185,107,57,44
"Castellano (059)",18212,1171,4967,3897,3002,2440,1384,780,571
"Idioma extranjero (060)",1,,,,,,,1,
"Es sordomudo/a (061)",42,4,7,15,5,7,2,1,1
"Hombres (063)",12606,710,3026,2571,2099,1900,1155,652,493
"Quechua (064)",1077,7,72,140,213,262,192,105,86
"Aymara (065)",14,,1,1,2,4,4,,2
"Ashaninca (066)",23,,3,10,4,4,1,,1
"Otra lengua nativa (067)",877,84,282,166,127,105,54,29,30
"Castellano (068)",10587,617,2664,2243,1751,1520,902,517,373
"Idioma extranjero (069)",1,,,,,,,1,
"Es sordomudo/a (070)",27,2,4,11,2,5,2,,1
"Mujeres (072)",9223,624,2603,1920,1548,1226,656,374,272
"Quechua (073)",782,3,53,96,155,216,120,80,59
"Aymara (074)",8,,3,,1,2,1,1,
"Ashaninca (075)",16,1,3,1,3,6,,1,1
"Otra lengua nativa (076)",777,64,238,165,135,80,53,28,14
"Castellano (077)",7625,554,2303,1654,1251,920,482,263,198
"Es sordomudo/a (079)",15,2,3,4,3,2,,1,
