"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia OYON (000)",20642,2858,5930,967,11108
"Menos de 1 año (001)",403,134,117,9,144
"De 1 a 14 años (002)",6330,1777,1839,183,2544
"De 15 a 29 años (003)",5132,478,1358,230,3126
"De 30 a 44 años (004)",4295,242,1734,328,2115
"De 45 a 64 años (005)",2910,136,735,155,1906
"De 65 y mas años (006)",1572,91,147,62,1273
"Hombres (008)",10831,1325,3537,671,5496
"Menos de 1 año (009)",205,74,63,6,63
"De 1 a 14 años (010)",3201,877,965,90,1275
"De 15 a 29 años (011)",2740,182,818,165,1628
"De 30 a 44 años (012)",2404,95,1111,268,1050
"De 45 a 64 años (013)",1553,55,497,110,909
"De 65 y mas años (014)",728,42,83,32,571
"Mujeres (016)",9811,1533,2393,296,5612
"Menos de 1 año (017)",198,60,54,3,81
"De 1 a 14 años (018)",3129,900,874,93,1269
"De 15 a 29 años (019)",2392,296,540,65,1498
"De 30 a 44 años (020)",1891,147,623,60,1065
"De 45 a 64 años (021)",1357,81,238,45,997
"De 65 y mas años (022)",844,49,64,30,702
,,,,,
"URBANA (024)",13308,1520,4171,509,7145
"Menos de 1 año (025)",303,80,104,8,111
"De 1 a 14 años (026)",4408,904,1638,124,1754
"De 15 a 29 años (027)",3257,274,858,105,2026
"De 30 a 44 años (028)",2580,132,1042,133,1282
"De 45 a 64 años (029)",1738,78,410,87,1172
"De 65 y mas años (030)",1022,52,119,52,800
"Hombres (032)",6453,669,2121,299,3386
"Menos de 1 año (033)",148,40,54,5,49
"De 1 a 14 años (034)",2229,445,854,62,874
"De 15 a 29 años (035)",1535,84,407,58,989
"De 30 a 44 años (036)",1234,44,513,90,594
"De 45 a 64 años (037)",842,33,230,57,528
"De 65 y mas años (038)",465,23,63,27,352
"Mujeres (040)",6855,851,2050,210,3759
"Menos de 1 año (041)",155,40,50,3,62
"De 1 a 14 años (042)",2179,459,784,62,880
"De 15 a 29 años (043)",1722,190,451,47,1037
"De 30 a 44 años (044)",1346,88,529,43,688
"De 45 a 64 años (045)",896,45,180,30,644
"De 65 y mas años (046)",557,29,56,25,448
,,,,,
"RURAL (048)",7334,1338,1759,458,3963
"Menos de 1 año (049)",100,54,13,1,33
"De 1 a 14 años (050)",1922,873,201,59,790
"De 15 a 29 años (051)",1875,204,500,125,1100
"De 30 a 44 años (052)",1715,110,692,195,833
"De 45 a 64 años (053)",1172,58,325,68,734
"De 65 y mas años (054)",550,39,28,10,473
"Hombres (056)",4378,656,1416,372,2110
"Menos de 1 año (057)",57,34,9,1,14
"De 1 a 14 años (058)",972,432,111,28,401
"De 15 a 29 años (059)",1205,98,411,107,639
"De 30 a 44 años (060)",1170,51,598,178,456
"De 45 a 64 años (061)",711,22,267,53,381
"De 65 y mas años (062)",263,19,20,5,219
"Mujeres (064)",2956,682,343,86,1853
"Menos de 1 año (065)",43,20,4,,19
"De 1 a 14 años (066)",950,441,90,31,389
"De 15 a 29 años (067)",670,106,89,18,461
"De 30 a 44 años (068)",545,59,94,17,377
"De 45 a 64 años (069)",461,36,58,15,353
"De 65 y mas años (070)",287,20,8,5,254
