"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia TAHUAMANU (000)",10123,901,212,2703,4022,694,833,270,488
"Quechua (001)",897,136,4,336,314,32,48,12,15
"Aymara (002)",166,17,1,49,60,8,17,3,11
"Ashaninca (003)",7,3,,3,,,,1,
"Otra lengua nativa (004)",74,18,,25,20,7,4,,
"Castellano (005)",8870,688,203,2250,3611,647,762,253,456
"Idioma extranjero (006)",94,30,4,34,17,,2,1,6
"Es sordomudo/a (007)",15,9,,6,,,,,
"Hombres (009)",6128,385,109,1458,2641,460,534,193,348
"Quechua (010)",553,37,3,215,224,23,31,9,11
"Aymara (011)",93,4,1,26,34,5,12,2,9
"Ashaninca (012)",4,1,,2,,,,1,
"Otra lengua nativa (013)",45,10,,15,12,5,3,,
"Castellano (014)",5380,311,103,1184,2365,427,487,180,323
"Idioma extranjero (015)",45,16,2,14,6,,1,1,5
"Es sordomudo/a (016)",8,6,,2,,,,,
"Mujeres (018)",3995,516,103,1245,1381,234,299,77,140
"Quechua (019)",344,99,1,121,90,9,17,3,4
"Aymara (020)",73,13,,23,26,3,5,1,2
"Ashaninca (021)",3,2,,1,,,,,
"Otra lengua nativa (022)",29,8,,10,8,2,1,,
"Castellano (023)",3490,377,100,1066,1246,220,275,73,133
"Idioma extranjero (024)",49,14,2,20,11,,1,,1
"Es sordomudo/a (025)",7,3,,4,,,,,
,,,,,,,,,
"URBANA (027)",7164,538,148,1653,2986,546,651,220,422
"Quechua (028)",389,48,1,123,154,24,24,8,7
"Aymara (029)",43,2,,10,17,3,6,,5
"Ashaninca (030)",7,3,,3,,,,1,
"Otra lengua nativa (031)",72,18,,24,20,6,4,,
"Castellano (032)",6606,454,146,1482,2782,513,615,210,404
"Idioma extranjero (033)",39,8,1,8,13,,2,1,6
"Es sordomudo/a (034)",8,5,,3,,,,,
"Hombres (036)",4217,219,69,832,1885,344,411,160,297
"Quechua (037)",235,7,,73,109,18,18,6,4
"Aymara (038)",30,1,,4,13,2,6,,4
"Ashaninca (039)",4,1,,2,,,,1,
"Otra lengua nativa (040)",44,10,,14,12,5,3,,
"Castellano (041)",3884,193,69,736,1748,319,383,152,284
"Idioma extranjero (042)",14,3,,1,3,,1,1,5
"Es sordomudo/a (043)",6,4,,2,,,,,
"Mujeres (045)",2947,319,79,821,1101,202,240,60,125
"Quechua (046)",154,41,1,50,45,6,6,2,3
"Aymara (047)",13,1,,6,4,1,,,1
"Ashaninca (048)",3,2,,1,,,,,
"Otra lengua nativa (049)",28,8,,10,8,1,1,,
"Castellano (050)",2722,261,77,746,1034,194,232,58,120
"Idioma extranjero (051)",25,5,1,7,10,,1,,1
"Es sordomudo/a (052)",2,1,,1,,,,,
,,,,,,,,,
"RURAL (054)",2959,363,64,1050,1036,148,182,50,66
"Quechua (055)",508,88,3,213,160,8,24,4,8
"Aymara (056)",123,15,1,39,43,5,11,3,6
"Otra lengua nativa (058)",2,,,1,,1,,,
"Castellano (059)",2264,234,57,768,829,134,147,43,52
"Idioma extranjero (060)",55,22,3,26,4,,,,
"Es sordomudo/a (061)",7,4,,3,,,,,
"Hombres (063)",1911,166,40,626,756,116,123,33,51
"Quechua (064)",318,30,3,142,115,5,13,3,7
"Aymara (065)",63,3,1,22,21,3,6,2,5
"Otra lengua nativa (067)",1,,,1,,,,,
"Castellano (068)",1496,118,34,448,617,108,104,28,39
"Idioma extranjero (069)",31,13,2,13,3,,,,
"Es sordomudo/a (070)",2,2,,,,,,,
"Mujeres (072)",1048,197,24,424,280,32,59,17,15
"Quechua (073)",190,58,,71,45,3,11,1,1
"Aymara (074)",60,12,,17,22,2,5,1,1
"Otra lengua nativa (076)",1,,,,,1,,,
"Castellano (077)",768,116,23,320,212,26,43,15,13
"Idioma extranjero (078)",24,9,1,13,1,,,,
"Es sordomudo/a (079)",5,2,,3,,,,,
