"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUARI (000)",22082,21355,6529,2210,2137,1841,3194,2426,1746,1272,727,70847
"De 12 a 14 años (001)",2409,2390,2379,8,3,,,,,,19,14
"De 15 a 19 años (002)",2931,2869,2572,253,37,3,4,,,,62,352
"De 20 a 24 años (003)",2231,2003,777,713,375,102,30,6,,,228,1932
"De 25 a 29 años (004)",1900,1729,244,447,478,308,230,20,2,,171,3436
"De 30 a 34 años (005)",1608,1543,77,229,342,334,405,126,28,2,65,4722
"De 35 a 39 años (006)",1793,1742,70,135,260,282,557,317,101,20,51,7060
"De 40 a 44 años (007)",1563,1536,46,62,169,193,434,374,196,62,27,7671
"De 45 a 49 años (008)",1350,1334,41,65,109,140,322,298,228,131,16,7457
"De 50 y más años (009)",6297,6209,323,298,364,479,1212,1285,1191,1057,88,38203
"PEA (010)",3017,2798,641,470,460,332,444,234,128,89,219,7928
"De 12 a 14 años (011)",25,25,25,,,,,,,,,
"De 15 a 19 años (012)",189,185,166,17,1,1,,,,,4,22
"De 20 a 24 años (013)",402,329,201,90,30,5,2,1,,,73,180
"De 25 a 29 años (014)",437,366,121,134,60,33,17,1,,,71,430
"De 30 a 34 años (015)",384,352,31,91,107,64,48,10,1,,32,778
"De 35 a 39 años (016)",406,392,22,60,111,70,102,22,5,,14,1121
"De 40 a 44 años (017)",311,301,13,18,60,69,91,33,12,5,10,1120
"De 45 a 49 años (018)",256,251,10,18,42,45,66,44,17,9,5,1062
"De 50 y más años (019)",607,597,52,42,49,45,118,123,93,75,10,3215
"Ocupada (020)",2830,2638,554,441,449,322,430,230,124,88,192,7713
"De 12 a 14 años (021)",17,17,17,,,,,,,,,
"De 15 a 19 años (022)",156,153,136,15,1,1,,,,,3,20
