"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia LAURICOCHA (000)",17883,2627,6139,4835,4282
"Asiste actualmente (001)",11905,790,5517,4168,1430
"No asiste (002)",5978,1837,622,667,2852
"Hombres (004)",9363,1368,3162,2580,2253
"Asiste actualmente (005)",6378,423,2842,2264,849
"No asiste (006)",2985,945,320,316,1404
"Mujeres (008)",8520,1259,2977,2255,2029
"Asiste actualmente (009)",5527,367,2675,1904,581
"No asiste (010)",2993,892,302,351,1448
,,,,,
"URBANA (012)",3933,525,1287,1120,1001
"Asiste actualmente (013)",2877,212,1203,1029,433
"No asiste (014)",1056,313,84,91,568
"Hombres (016)",2047,283,633,622,509
"Asiste actualmente (017)",1528,114,593,576,245
"No asiste (018)",519,169,40,46,264
"Mujeres (020)",1886,242,654,498,492
"Asiste actualmente (021)",1349,98,610,453,188
"No asiste (022)",537,144,44,45,304
,,,,,
"RURAL (024)",13950,2102,4852,3715,3281
"Asiste actualmente (025)",9028,578,4314,3139,997
"No asiste (026)",4922,1524,538,576,2284
"Hombres (028)",7316,1085,2529,1958,1744
"Asiste actualmente (029)",4850,309,2249,1688,604
"No asiste (030)",2466,776,280,270,1140
"Mujeres (032)",6634,1017,2323,1757,1537
"Asiste actualmente (033)",4178,269,2065,1451,393
"No asiste (034)",2456,748,258,306,1144
