"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia ZARUMILLA (000)",16194,251,6172,5783,3404,584
"Agric., ganadería, caza y silvicultura (001)",2467,41,815,722,614,275
"Pesca (002)",468,,210,186,68,4
"Explotación de minas y canteras (003)",25,,12,5,8,
"Industrias manufactureras (004)",591,13,195,209,158,16
"Suministro de electricidad, gas y agua (005)",20,,3,10,7,
"Construcción (006)",807,7,251,336,197,16
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3789,78,1464,1320,799,128
"Venta, mant.y rep. veh.autom.y motoc. (008)",180,1,67,74,37,1
"Comercio al por mayor (009)",187,,93,54,33,7
"Comercio al por menor (010)",3422,77,1304,1192,729,120
"Hoteles y restaurantes (011)",904,32,342,311,199,20
"Trans., almac. y comunicaciones (012)",3140,36,1393,1137,516,58
"Intermediación financiera (013)",26,,11,10,5,
"Activid.inmobil., empres. y alquileres (014)",401,,176,147,72,6
"Admin.pub. y defensa; p. segur.soc afil (015)",682,,265,245,166,6
"Enseñanza (016)",642,,80,378,181,3
"Servicios sociales y de salud (017)",144,,46,78,20,
"Otras activ. serv.comun.soc y personales (018)",510,11,180,191,112,16
"Hogares privados con servicio doméstico (019)",394,13,199,115,64,3
"Actividad economica no especificada (021)",589,1,216,206,145,21
"Desocupado (022)",595,19,314,177,73,12
"Hombres (023)",11897,181,4480,4167,2570,499
"Agric., ganadería, caza y silvicultura (024)",2360,37,776,688,592,267
"Pesca (025)",459,,204,184,67,4
"Explotación de minas y canteras (026)",23,,10,5,8,
"Industrias manufactureras (027)",476,13,164,163,121,15
"Suministro de electricidad, gas y agua (028)",20,,3,10,7,
"Construcción (029)",791,6,244,331,194,16
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",2161,57,808,709,496,91
"Venta, mant.y rep. veh.autom.y motoc. (031)",166,1,63,67,34,1
"Comercio al por mayor (032)",112,,52,34,22,4
"Comercio al por menor (033)",1883,56,693,608,440,86
"Hoteles y restaurantes (034)",300,13,122,100,59,6
"Trans., almac. y comunicaciones (035)",3066,33,1353,1114,510,56
"Intermediación financiera (036)",22,,10,7,5,
"Activid.inmobil., empres. y alquileres (037)",332,,136,125,66,5
"Admin.pub. y defensa; p. segur.soc afil (038)",507,,178,187,139,3
"Enseñanza (039)",255,,22,147,85,1
"Servicios sociales y de salud (040)",51,,14,26,11,
